last_day_of_the_week,average_precip,week,year,State,City
2009-01-04,0.11,1,2009,GA,Atlanta
2009-01-11,0.27285714285714285,2,2009,GA,Atlanta
2009-01-18,0.02142857142857143,3,2009,GA,Atlanta
2009-01-25,0.037142857142857144,4,2009,GA,Atlanta
2009-02-01,0.017142857142857144,5,2009,GA,Atlanta
2009-02-08,0.02,6,2009,GA,Atlanta
2009-02-15,0.002857142857142857,7,2009,GA,Atlanta
2009-02-22,0.11285714285714286,8,2009,GA,Atlanta
2009-03-01,0.5128571428571428,9,2009,GA,Atlanta
2009-03-08,0.0,10,2009,GA,Atlanta
2009-03-15,0.23285714285714285,11,2009,GA,Atlanta
2009-03-22,0.09142857142857143,12,2009,GA,Atlanta
2009-03-29,0.5471428571428572,13,2009,GA,Atlanta
2009-04-05,0.24142857142857146,14,2009,GA,Atlanta
2009-04-12,0.05857142857142857,15,2009,GA,Atlanta
2009-04-19,0.2085714285714286,16,2009,GA,Atlanta
2009-04-26,0.24285714285714285,17,2009,GA,Atlanta
2009-05-03,0.09999999999999999,18,2009,GA,Atlanta
2009-05-10,0.25,19,2009,GA,Atlanta
2009-05-17,0.21,20,2009,GA,Atlanta
2009-05-24,0.08571428571428572,21,2009,GA,Atlanta
2009-05-31,0.03571428571428571,22,2009,GA,Atlanta
2009-06-07,0.12,23,2009,GA,Atlanta
2009-06-14,0.19999999999999998,24,2009,GA,Atlanta
2009-06-21,0.0014285714285714286,25,2009,GA,Atlanta
2009-06-28,0.0,26,2009,GA,Atlanta
2009-07-05,0.014285714285714287,27,2009,GA,Atlanta
2009-07-12,0.4357142857142858,28,2009,GA,Atlanta
2009-07-19,0.045714285714285714,29,2009,GA,Atlanta
2009-07-26,0.002857142857142857,30,2009,GA,Atlanta
2009-08-02,0.36,31,2009,GA,Atlanta
2009-08-09,0.0014285714285714286,32,2009,GA,Atlanta
2009-08-16,0.0,33,2009,GA,Atlanta
2009-08-23,0.15285714285714286,34,2009,GA,Atlanta
2009-08-30,0.5685714285714286,35,2009,GA,Atlanta
2009-09-06,0.021428571428571432,36,2009,GA,Atlanta
2009-09-13,0.0,37,2009,GA,Atlanta
2009-09-20,0.3757142857142857,38,2009,GA,Atlanta
2009-09-27,0.4657142857142857,39,2009,GA,Atlanta
2009-10-04,0.0642857142857143,40,2009,GA,Atlanta
2009-10-11,0.26,41,2009,GA,Atlanta
2009-10-18,0.5628571428571428,42,2009,GA,Atlanta
2009-10-25,0.017142857142857144,43,2009,GA,Atlanta
2009-11-01,0.3314285714285714,44,2009,GA,Atlanta
2009-11-08,0.0,45,2009,GA,Atlanta
2009-11-15,0.9742857142857143,46,2009,GA,Atlanta
2009-11-22,0.11142857142857143,47,2009,GA,Atlanta
2009-11-29,0.0014285714285714286,48,2009,GA,Atlanta
2009-12-06,0.5057142857142857,49,2009,GA,Atlanta
2009-12-13,0.22428571428571428,50,2009,GA,Atlanta
2009-12-20,0.3471428571428571,51,2009,GA,Atlanta
2009-12-27,0.32142857142857145,52,2009,GA,Atlanta
2010-01-03,0.04428571428571428,53,2009,GA,Atlanta
2010-01-10,0.008571428571428572,1,2010,GA,Atlanta
2010-01-17,0.20428571428571426,2,2010,GA,Atlanta
2010-01-24,0.35571428571428576,3,2010,GA,Atlanta
2010-01-31,0.06285714285714286,4,2010,GA,Atlanta
2010-02-07,0.35571428571428576,5,2010,GA,Atlanta
2010-02-14,0.08571428571428572,6,2010,GA,Atlanta
2010-02-21,0.02428571428571429,7,2010,GA,Atlanta
2010-02-28,0.09714285714285716,8,2010,GA,Atlanta
2010-03-07,0.05714285714285715,9,2010,GA,Atlanta
2010-03-14,0.4042857142857143,10,2010,GA,Atlanta
2010-03-21,0.09571428571428571,11,2010,GA,Atlanta
2010-03-28,0.030000000000000002,12,2010,GA,Atlanta
2010-04-04,0.0,13,2010,GA,Atlanta
2010-04-11,0.06857142857142857,14,2010,GA,Atlanta
2010-04-18,0.0,15,2010,GA,Atlanta
2010-04-25,0.29000000000000004,16,2010,GA,Atlanta
2010-05-02,0.0,17,2010,GA,Atlanta
2010-05-09,0.4014285714285714,18,2010,GA,Atlanta
