last_day_of_the_week,average_temperature,week,year,State,City
2009-01-04,48.25,1,2009,GA,Atlanta
2009-01-11,52.642857142857146,2,2009,GA,Atlanta
2009-01-18,35.642857142857146,3,2009,GA,Atlanta
2009-01-25,39.785714285714285,4,2009,GA,Atlanta
2009-02-01,45.42857142857143,5,2009,GA,Atlanta
2009-02-08,41.5,6,2009,GA,Atlanta
2009-02-15,55.714285714285715,7,2009,GA,Atlanta
2009-02-22,43.57142857142857,8,2009,GA,Atlanta
2009-03-01,49.5,9,2009,GA,Atlanta
2009-03-08,48.92857142857143,10,2009,GA,Atlanta
2009-03-15,58.07142857142857,11,2009,GA,Atlanta
2009-03-22,56.142857142857146,12,2009,GA,Atlanta
2009-03-29,58.92857142857143,13,2009,GA,Atlanta
2009-04-05,57.57142857142857,14,2009,GA,Atlanta
2009-04-12,54.5,15,2009,GA,Atlanta
2009-04-19,57.785714285714285,16,2009,GA,Atlanta
2009-04-26,66.0,17,2009,GA,Atlanta
2009-05-03,70.0,18,2009,GA,Atlanta
2009-05-10,72.28571428571429,19,2009,GA,Atlanta
2009-05-17,67.85714285714286,20,2009,GA,Atlanta
2009-05-24,67.0,21,2009,GA,Atlanta
2009-05-31,73.57142857142857,22,2009,GA,Atlanta
2009-06-07,75.5,23,2009,GA,Atlanta
2009-06-14,77.64285714285714,24,2009,GA,Atlanta
2009-06-21,81.71428571428571,25,2009,GA,Atlanta
2009-06-28,84.14285714285714,26,2009,GA,Atlanta
2009-07-05,79.57142857142857,27,2009,GA,Atlanta
2009-07-12,77.92857142857143,28,2009,GA,Atlanta
2009-07-19,77.85714285714286,29,2009,GA,Atlanta
2009-07-26,77.28571428571429,30,2009,GA,Atlanta
2009-08-02,78.92857142857143,31,2009,GA,Atlanta
2009-08-09,81.71428571428571,32,2009,GA,Atlanta
2009-08-16,81.42857142857143,33,2009,GA,Atlanta
2009-08-23,77.85714285714286,34,2009,GA,Atlanta
2009-08-30,75.42857142857143,35,2009,GA,Atlanta
2009-09-06,73.35714285714286,36,2009,GA,Atlanta
2009-09-13,74.28571428571429,37,2009,GA,Atlanta
2009-09-20,74.0,38,2009,GA,Atlanta
2009-09-27,75.71428571428571,39,2009,GA,Atlanta
2009-10-04,65.28571428571429,40,2009,GA,Atlanta
2009-10-11,68.0,41,2009,GA,Atlanta
2009-10-18,55.714285714285715,42,2009,GA,Atlanta
2009-10-25,57.5,43,2009,GA,Atlanta
2009-11-01,59.285714285714285,44,2009,GA,Atlanta
2009-11-08,55.785714285714285,45,2009,GA,Atlanta
2009-11-15,58.142857142857146,46,2009,GA,Atlanta
2009-11-22,52.214285714285715,47,2009,GA,Atlanta
2009-11-29,50.357142857142854,48,2009,GA,Atlanta
2009-12-06,43.714285714285715,49,2009,GA,Atlanta
2009-12-13,41.857142857142854,50,2009,GA,Atlanta
2009-12-20,43.857142857142854,51,2009,GA,Atlanta
2009-12-27,42.785714285714285,52,2009,GA,Atlanta
2010-01-03,35.285714285714285,53,2009,GA,Atlanta
2010-01-10,26.0,1,2010,GA,Atlanta
2010-01-17,39.92857142857143,2,2010,GA,Atlanta
2010-01-24,50.142857142857146,3,2010,GA,Atlanta
2010-01-31,41.285714285714285,4,2010,GA,Atlanta
2010-02-07,41.42857142857143,5,2010,GA,Atlanta
2010-02-14,35.142857142857146,6,2010,GA,Atlanta
2010-02-21,40.57142857142857,7,2010,GA,Atlanta
2010-02-28,41.5,8,2010,GA,Atlanta
2010-03-07,42.07142857142857,9,2010,GA,Atlanta
2010-03-14,53.142857142857146,10,2010,GA,Atlanta
2010-03-21,52.357142857142854,11,2010,GA,Atlanta
2010-03-28,52.642857142857146,12,2010,GA,Atlanta
2010-04-04,63.214285714285715,13,2010,GA,Atlanta
2010-04-11,64.5,14,2010,GA,Atlanta
2010-04-18,67.57142857142857,15,2010,GA,Atlanta
2010-04-25,65.14285714285714,16,2010,GA,Atlanta
2010-05-02,65.21428571428571,17,2010,GA,Atlanta
2010-05-09,71.21428571428571,18,2010,GA,Atlanta
2010-05-16,72.64285714285714,19,2010,GA,Atlanta
2010-05-23,72.78571428571429,20,2010,GA,Atlanta
2010-05-30,75.5,21,2010,GA,Atlanta
2010-06-06,77.78571428571429,22,2010,GA,Atlanta
2010-06-13,80.14285714285714,23,2010,GA,Atlanta
2010-06-20,82.92857142857143,24,2010,GA,Atlanta
2010-06-27,83.57142857142857,25,2010,GA,Atlanta
2010-07-04,79.42857142857143,26,2010,GA,Atlanta
2010-07-11,82.21428571428571,27,2010,GA,Atlanta
2010-07-18,81.0,28,2010,GA,Atlanta
2010-07-25,84.78571428571429,29,2010,GA,Atlanta
2010-08-01,84.5,30,2010,GA,Atlanta
2010-08-08,83.14285714285714,31,2010,GA,Atlanta
2010-08-15,84.57142857142857,32,2010,GA,Atlanta
2010-08-22,83.64285714285714,33,2010,GA,Atlanta
2010-08-29,80.57142857142857,34,2010,GA,Atlanta
2010-09-05,77.92857142857143,35,2010,GA,Atlanta
2010-09-12,80.85714285714286,36,2010,GA,Atlanta
2010-09-19,79.21428571428571,37,2010,GA,Atlanta
2010-09-26,79.71428571428571,38,2010,GA,Atlanta
2010-10-03,66.57142857142857,39,2010,GA,Atlanta
2010-10-10,64.07142857142857,40,2010,GA,Atlanta
2010-10-17,66.5,41,2010,GA,Atlanta
2010-10-24,65.21428571428571,42,2010,GA,Atlanta
2010-10-31,65.42857142857143,43,2010,GA,Atlanta
2010-11-07,50.142857142857146,44,2010,GA,Atlanta
2010-11-14,57.857142857142854,45,2010,GA,Atlanta
2010-11-21,55.785714285714285,46,2010,GA,Atlanta
2010-11-28,55.42857142857143,47,2010,GA,Atlanta
2010-12-05,44.857142857142854,48,2010,GA,Atlanta
2010-12-12,35.357142857142854,49,2010,GA,Atlanta
2010-12-19,34.57142857142857,50,2010,GA,Atlanta
2010-12-26,39.92857142857143,51,2010,GA,Atlanta
2011-01-02,44.357142857142854,52,2010,GA,Atlanta
2011-01-09,39.857142857142854,1,2011,GA,Atlanta
2011-01-16,32.07142857142857,2,2011,GA,Atlanta
2011-01-23,38.714285714285715,3,2011,GA,Atlanta
2011-01-30,45.42857142857143,4,2011,GA,Atlanta
2011-02-06,41.92857142857143,5,2011,GA,Atlanta
2011-02-13,40.357142857142854,6,2011,GA,Atlanta
2011-02-20,56.714285714285715,7,2011,GA,Atlanta
2011-02-27,58.92857142857143,8,2011,GA,Atlanta
2011-03-06,55.07142857142857,9,2011,GA,Atlanta
2011-03-13,51.642857142857146,10,2011,GA,Atlanta
2011-03-20,60.57142857142857,11,2011,GA,Atlanta
2011-03-27,60.642857142857146,12,2011,GA,Atlanta
2011-04-03,52.285714285714285,13,2011,GA,Atlanta
2011-04-10,65.21428571428571,14,2011,GA,Atlanta
2011-04-17,62.92857142857143,15,2011,GA,Atlanta
2011-04-24,68.64285714285714,16,2011,GA,Atlanta
2011-05-01,69.07142857142857,17,2011,GA,Atlanta
2011-05-08,63.5,18,2011,GA,Atlanta
2011-05-15,73.64285714285714,19,2011,GA,Atlanta
2011-05-22,66.64285714285714,20,2011,GA,Atlanta
2011-05-29,76.85714285714286,21,2011,GA,Atlanta
2011-06-05,83.21428571428571,22,2011,GA,Atlanta
2011-06-12,81.92857142857143,23,2011,GA,Atlanta
2011-06-19,79.78571428571429,24,2011,GA,Atlanta
2011-06-26,80.78571428571429,25,2011,GA,Atlanta
2011-07-03,81.57142857142857,26,2011,GA,Atlanta
2011-07-10,82.0,27,2011,GA,Atlanta
2011-07-17,81.07142857142857,28,2011,GA,Atlanta
2011-07-24,82.64285714285714,29,2011,GA,Atlanta
2011-07-31,83.64285714285714,30,2011,GA,Atlanta
2011-08-07,83.71428571428571,31,2011,GA,Atlanta
2011-08-14,83.85714285714286,32,2011,GA,Atlanta
2011-08-21,81.57142857142857,33,2011,GA,Atlanta
2011-08-28,83.42857142857143,34,2011,GA,Atlanta
2011-09-04,82.14285714285714,35,2011,GA,Atlanta
2011-09-11,69.14285714285714,36,2011,GA,Atlanta
2011-09-18,71.92857142857143,37,2011,GA,Atlanta
2011-09-25,73.35714285714286,38,2011,GA,Atlanta
2011-10-02,68.85714285714286,39,2011,GA,Atlanta
2011-10-09,66.5,40,2011,GA,Atlanta
2011-10-16,65.92857142857143,41,2011,GA,Atlanta
2011-10-23,58.785714285714285,42,2011,GA,Atlanta
2011-10-30,60.214285714285715,43,2011,GA,Atlanta
2011-11-06,54.357142857142854,44,2011,GA,Atlanta
2011-11-13,55.07142857142857,45,2011,GA,Atlanta
2011-11-20,57.92857142857143,46,2011,GA,Atlanta
2011-11-27,60.42857142857143,47,2011,GA,Atlanta
2011-12-04,46.714285714285715,48,2011,GA,Atlanta
2011-12-11,49.357142857142854,49,2011,GA,Atlanta
2011-12-18,52.785714285714285,50,2011,GA,Atlanta
2011-12-25,52.357142857142854,51,2011,GA,Atlanta
2012-01-01,48.57142857142857,52,2011,GA,Atlanta
2012-01-08,45.57142857142857,1,2012,GA,Atlanta
2012-01-15,47.785714285714285,2,2012,GA,Atlanta
2012-01-22,49.857142857142854,3,2012,GA,Atlanta
2012-01-29,52.42857142857143,4,2012,GA,Atlanta
2012-02-05,55.785714285714285,5,2012,GA,Atlanta
2012-02-12,43.285714285714285,6,2012,GA,Atlanta
2012-02-19,49.142857142857146,7,2012,GA,Atlanta
2012-02-26,53.285714285714285,8,2012,GA,Atlanta
2012-03-04,59.92857142857143,9,2012,GA,Atlanta
2012-03-11,54.857142857142854,10,2012,GA,Atlanta
2012-03-18,69.21428571428571,11,2012,GA,Atlanta
2012-03-25,67.92857142857143,12,2012,GA,Atlanta
2012-04-01,69.0,13,2012,GA,Atlanta
2012-04-08,67.78571428571429,14,2012,GA,Atlanta
2012-04-15,62.0,15,2012,GA,Atlanta
2012-04-22,64.85714285714286,16,2012,GA,Atlanta
2012-04-29,66.21428571428571,17,2012,GA,Atlanta
2012-05-06,76.71428571428571,18,2012,GA,Atlanta
2012-05-13,67.78571428571429,19,2012,GA,Atlanta
2012-05-20,72.28571428571429,20,2012,GA,Atlanta
2012-05-27,76.35714285714286,21,2012,GA,Atlanta
2012-06-03,75.21428571428571,22,2012,GA,Atlanta
2012-06-10,73.64285714285714,23,2012,GA,Atlanta
2012-06-17,76.14285714285714,24,2012,GA,Atlanta
