Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
Date,Min,Max,Avg,Precip
1-Jan-09,32,69,50.5,-
2-Jan-09,45,77,61,-
3-Jan-09,64,84,74,-
4-Jan-09,37,66,51.5,-
5-Jan-09,33,38,35.5,0.51
6-Jan-09,36,65,50.5,0.01
7-Jan-09,36,67,51.5,-
8-Jan-09,40,74,57,-
9-Jan-09,51,81,66,-
10-Jan-09,35,59,47,-
11-Jan-09,29,64,46.5,-
12-Jan-09,36,65,50.5,-
13-Jan-09,30,46,38,-
14-Jan-09,30,62,46,-
15-Jan-09,25,44,34.5,-
16-Jan-09,22,44,33,-
17-Jan-09,44,69,56.5,-
18-Jan-09,39,66,52.5,-
19-Jan-09,46,60,53,-
20-Jan-09,35,56,45.5,-
21-Jan-09,31,70,50.5,-
22-Jan-09,32,80,56,-
23-Jan-09,44,79,61.5,-
24-Jan-09,32,44,38,-
25-Jan-09,37,54,45.5,-
26-Jan-09,35,46,40.5,0.09
27-Jan-09,26,36,31,0.21
28-Jan-09,20,40,30,-
29-Jan-09,25,54,39.5,-
30-Jan-09,28,65,46.5,-
31-Jan-09,33,71,52,-
1-Feb-09,41,71,56,-
2-Feb-09,34,57,45.5,-
3-Feb-09,32,67,49.5,-
4-Feb-09,26,55,40.5,-
5-Feb-09,36,71,53.5,-
6-Feb-09,56,75,65.5,-
7-Feb-09,61,76,68.5,-
8-Feb-09,56,73,64.5,-
9-Feb-09,52,69,60.5,0.33
10-Feb-09,55,76,65.5,0.39
11-Feb-09,48,66,57,-
12-Feb-09,44,73,58.5,-
13-Feb-09,49,75,62,-
14-Feb-09,36,52,44,-
15-Feb-09,37,58,47.5,-
16-Feb-09,36,58,47,-
17-Feb-09,51,66,58.5,-
18-Feb-09,52,74,63,-
19-Feb-09,37,56,46.5,-
20-Feb-09,34,69,51.5,-
21-Feb-09,35,56,45.5,0.01
22-Feb-09,30,60,45,-
23-Feb-09,41,65,53,-
24-Feb-09,51,80,65.5,-
25-Feb-09,58,82,70,-
26-Feb-09,68,86,77,-
27-Feb-09,48,72,60,-
28-Feb-09,34,50,42,0.01
1-Mar-09,29,53,41,-
2-Mar-09,30,60,45,-
3-Mar-09,43,68,55.5,-
4-Mar-09,52,77,64.5,-
5-Mar-09,62,86,74,-
6-Mar-09,64,82,73,-
7-Mar-09,66,77,71.5,-
8-Mar-09,65,79,72,0.01
9-Mar-09,65,81,73,-
10-Mar-09,49,77,63,-
11-Mar-09,38,49,43.5,3.46
12-Mar-09,38,43,40.5,0.12
13-Mar-09,38,41,39.5,0.67
14-Mar-09,41,52,46.5,0.03
15-Mar-09,40,61,50.5,-
16-Mar-09,43,77,60,-
17-Mar-09,49,82,65.5,-
18-Mar-09,56,79,67.5,-
19-Mar-09,53,80,66.5,-
20-Mar-09,52,75,63.5,-
21-Mar-09,53,78,65.5,-
22-Mar-09,60,77,68.5,-
23-Mar-09,66,79,72.5,-
24-Mar-09,52,74,63,0.02
25-Mar-09,47,62,54.5,0.52
26-Mar-09,48,72,60,-
27-Mar-09,35,69,52,-
28-Mar-09,34,54,44,-
29-Mar-09,32,69,50.5,-
30-Mar-09,52,75,63.5,0.6
31-Mar-09,46,65,55.5,-
1-Apr-09,44,76,60,-
2-Apr-09,46,65,55.5,0.01
3-Apr-09,38,72,55,-
4-Apr-09,53,82,67.5,-
5-Apr-09,47,70,58.5,-
6-Apr-09,38,60,49,-
7-Apr-09,36,71,53.5,-
8-Apr-09,46,84,65,-
9-Apr-09,64,88,76,0.01
10-Apr-09,51,69,60,-
11-Apr-09,46,71,58.5,-
12-Apr-09,52,65,58.5,0.99
13-Apr-09,52,66,59,-
14-Apr-09,45,75,60,-
15-Apr-09,50,74,62,-
16-Apr-09,56,76,66,-
17-Apr-09,56,66,61,0.72
18-Apr-09,61,75,68,-
19-Apr-09,54,71,62.5,-
20-Apr-09,50,80,65,-
21-Apr-09,53,87,70,-
22-Apr-09,60,91,75.5,-
23-Apr-09,64,85,74.5,-
24-Apr-09,69,82,75.5,-
25-Apr-09,69,83,76,-
26-Apr-09,72,78,75,-
27-Apr-09,60,73,66.5,0.68
28-Apr-09,57,78,67.5,-
29-Apr-09,64,77,70.5,0.4
30-Apr-09,62,83,72.5,0.7
1-May-09,72,79,75.5,-
2-May-09,61,78,69.5,1.52
3-May-09,58,67,62.5,0.08
4-May-09,57,71,64,-
5-May-09,63,78,70.5,0.01
6-May-09,67,79,73,0.04
7-May-09,70,84,77,-
8-May-09,72,89,80.5,-
9-May-09,62,79,70.5,0.01
10-May-09,61,80,70.5,-
11-May-09,60,78,69,0.64
12-May-09,62,87,74.5,-
13-May-09,73,89,81,-
14-May-09,67,85,76,0.05
15-May-09,70,88,79,-
16-May-09,61,77,69,0.46
17-May-09,56,74,65,-
18-May-09,54,78,66,-
19-May-09,57,81,69,-
20-May-09,57,82,69.5,-
21-May-09,59,86,72.5,-
22-May-09,69,85,77,-
23-May-09,68,85,76.5,-
24-May-09,66,85,75.5,-
25-May-09,65,89,77,-
26-May-09,72,96,84,0.01
27-May-09,63,80,71.5,0.26
28-May-09,62,86,74,-
29-May-09,64,88,76,-
30-May-09,62,91,76.5,-
31-May-09,66,93,79.5,-
1-Jun-09,69,88,78.5,-
2-Jun-09,66,90,78,0.2
3-Jun-09,69,82,75.5,0.16
4-Jun-09,65,83,74,-
5-Jun-09,61,89,75,-
