State,year,week,ILITOTAL
Arizona,2010,40,172
California,2010,40,632
Colorado,2010,40,134
Georgia,2010,40,647
Illinois,2010,40,505
New York,2010,40,37
Pennsylvania,2010,40,122
Texas,2010,40,1050
Washington,2010,40,16
Arizona,2010,41,183
California,2010,41,742
Colorado,2010,41,115
Georgia,2010,41,702
Illinois,2010,41,600
New York,2010,41,47
Pennsylvania,2010,41,157
Texas,2010,41,1061
Washington,2010,41,34
Arizona,2010,42,240
California,2010,42,766
Colorado,2010,42,152
Georgia,2010,42,793
Illinois,2010,42,644
New York,2010,42,53
Pennsylvania,2010,42,161
Texas,2010,42,1090
Washington,2010,42,28
Arizona,2010,43,233
California,2010,43,666
Colorado,2010,43,175
Georgia,2010,43,881
Illinois,2010,43,623
New York,2010,43,53
Pennsylvania,2010,43,133
Texas,2010,43,1117
Washington,2010,43,30
Arizona,2010,44,312
California,2010,44,887
Colorado,2010,44,193
Georgia,2010,44,1033
Illinois,2010,44,625
New York,2010,44,80
Pennsylvania,2010,44,181
Texas,2010,44,1218
Washington,2010,44,24
Arizona,2010,45,239
California,2010,45,906
Colorado,2010,45,139
Georgia,2010,45,1390
Illinois,2010,45,651
New York,2010,45,78
Pennsylvania,2010,45,184
Texas,2010,45,1310
Washington,2010,45,40
Arizona,2010,46,284
California,2010,46,1020
Colorado,2010,46,137
Georgia,2010,46,1938
Illinois,2010,46,661
New York,2010,46,79
Pennsylvania,2010,46,170
Texas,2010,46,1121
Washington,2010,46,44
Arizona,2010,47,251
California,2010,47,729
Colorado,2010,47,108
Georgia,2010,47,1801
Illinois,2010,47,622
New York,2010,47,58
Pennsylvania,2010,47,144
Texas,2010,47,964
Washington,2010,47,21
Arizona,2010,48,371
California,2010,48,939
Colorado,2010,48,168
Georgia,2010,48,1315
Illinois,2010,48,659
New York,2010,48,244
Pennsylvania,2010,48,217
Texas,2010,48,1273
Washington,2010,48,35
Arizona,2010,49,517
California,2010,49,1072
Colorado,2010,49,154
Georgia,2010,49,1685
Illinois,2010,49,732
New York,2010,49,303
Pennsylvania,2010,49,203
Texas,2010,49,1165
Washington,2010,49,33
Arizona,2010,50,488
California,2010,50,1170
Colorado,2010,50,174
Georgia,2010,50,2254
Illinois,2010,50,775
New York,2010,50,357
Pennsylvania,2010,50,196
Texas,2010,50,1350
Washington,2010,50,14
Arizona,2010,51,454
California,2010,51,1057
Colorado,2010,51,123
Georgia,2010,51,2489
Illinois,2010,51,1039
New York,2010,51,388
Pennsylvania,2010,51,214
Texas,2010,51,1418
Washington,2010,51,6
Arizona,2010,52,344
California,2010,52,916
Colorado,2010,52,160
Georgia,2010,52,2064
Illinois,2010,52,1251
New York,2010,52,349
Pennsylvania,2010,52,243
Texas,2010,52,1293
Washington,2010,52,30
Arizona,2011,1,411
California,2011,1,1190
Colorado,2011,1,199
Georgia,2011,1,1723
Illinois,2011,1,1172
New York,2011,1,352
Pennsylvania,2011,1,257
Texas,2011,1,1524
Washington,2011,1,35
Arizona,2011,2,447
California,2011,2,1354
Colorado,2011,2,202
Georgia,2011,2,1133
Illinois,2011,2,1280
New York,2011,2,383
Pennsylvania,2011,2,322
Texas,2011,2,1950
Washington,2011,2,33
Arizona,2011,3,604
California,2011,3,1324
Colorado,2011,3,236
Georgia,2011,3,1288
Illinois,2011,3,1664
New York,2011,3,356
Pennsylvania,2011,3,439
Texas,2011,3,2518
Washington,2011,3,16
Arizona,2011,4,756
California,2011,4,1768
Colorado,2011,4,406
Georgia,2011,4,1629
Illinois,2011,4,1991
New York,2011,4,437
Pennsylvania,2011,4,681
Texas,2011,4,3381
Washington,2011,4,46
Arizona,2011,5,682
California,2011,5,1747
Colorado,2011,5,486
Georgia,2011,5,1828
Illinois,2011,5,1857
New York,2011,5,528
Pennsylvania,2011,5,758
Texas,2011,5,3086
Washington,2011,5,75
Arizona,2011,6,769
California,2011,6,1987
Colorado,2011,6,548
Georgia,2011,6,1908
Illinois,2011,6,1774
New York,2011,6,572
Pennsylvania,2011,6,687
Texas,2011,6,3280
Washington,2011,6,63
Arizona,2011,7,770
California,2011,7,2036
Colorado,2011,7,654
Georgia,2011,7,1835
Illinois,2011,7,1739
New York,2011,7,537
Pennsylvania,2011,7,663
Texas,2011,7,4821
Washington,2011,7,114
Arizona,2011,8,681
California,2011,8,1775
Colorado,2011,8,637
Georgia,2011,8,1596
Illinois,2011,8,1568
New York,2011,8,420
Pennsylvania,2011,8,591
Texas,2011,8,3641
Washington,2011,8,94
Arizona,2011,9,454
California,2011,9,2007
Colorado,2011,9,591
Georgia,2011,9,1048
Illinois,2011,9,1579
New York,2011,9,328
Pennsylvania,2011,9,485
Texas,2011,9,2401
Washington,2011,9,98
Arizona,2011,10,443
California,2011,10,1853
Colorado,2011,10,451
Georgia,2011,10,794
Illinois,2011,10,1345
New York,2011,10,313
Pennsylvania,2011,10,368
Texas,2011,10,1784
Washington,2011,10,82
Arizona,2011,11,310
California,2011,11,1598
Colorado,2011,11,387
Georgia,2011,11,775
Illinois,2011,11,1284
New York,2011,11,339
Pennsylvania,2011,11,328
Texas,2011,11,1231
Washington,2011,11,73
Arizona,2011,12,276
California,2011,12,1111
Colorado,2011,12,289
Georgia,2011,12,665
Illinois,2011,12,1045
New York,2011,12,254
Pennsylvania,2011,12,253
Texas,2011,12,1082
Washington,2011,12,76
Arizona,2011,13,272
California,2011,13,1160
Colorado,2011,13,192
Georgia,2011,13,581
Illinois,2011,13,985
New York,2011,13,242
Pennsylvania,2011,13,244
Texas,2011,13,968
Washington,2011,13,42
Arizona,2011,14,246
California,2011,14,927
Colorado,2011,14,182
Georgia,2011,14,549
Illinois,2011,14,851
New York,2011,14,251
Pennsylvania,2011,14,264
Texas,2011,14,827
Washington,2011,14,18
Arizona,2011,15,222
California,2011,15,918
Colorado,2011,15,167
Georgia,2011,15,485
Illinois,2011,15,616
New York,2011,15,236
Pennsylvania,2011,15,213
Texas,2011,15,770
Washington,2011,15,25
Arizona,2011,16,257
California,2011,16,736
Colorado,2011,16,153
Georgia,2011,16,490
Illinois,2011,16,640
New York,2011,16,197
Pennsylvania,2011,16,144
Texas,2011,16,683
Washington,2011,16,33
Arizona,2011,17,241
California,2011,17,784
Colorado,2011,17,177
Georgia,2011,17,468
Illinois,2011,17,526
New York,2011,17,123
Pennsylvania,2011,17,142
Texas,2011,17,605
Washington,2011,17,16
Arizona,2011,18,181
California,2011,18,734
Colorado,2011,18,151
Georgia,2011,18,446
Illinois,2011,18,479
New York,2011,18,153
Pennsylvania,2011,18,141
Texas,2011,18,662
Washington,2011,18,16
Arizona,2011,19,156
California,2011,19,672
Colorado,2011,19,113
Georgia,2011,19,488
Illinois,2011,19,575
New York,2011,19,164
Pennsylvania,2011,19,120
Texas,2011,19,730
Washington,2011,19,11
Arizona,2011,20,124
California,2011,20,700
Colorado,2011,20,118
Georgia,2011,20,491
Illinois,2011,20,392
New York,2011,20,57
Pennsylvania,2011,20,113
Texas,2011,20,574
Washington,2011,20,8
Arizona,2011,21,137
California,2011,21,583
Colorado,2011,21,112
Georgia,2011,21,373
Illinois,2011,21,381
New York,2011,21,99
Pennsylvania,2011,21,95
Texas,2011,21,459
Washington,2011,21,2
Arizona,2011,22,104
California,2011,22,581
Colorado,2011,22,88
Georgia,2011,22,414
Illinois,2011,22,516
New York,2011,22,88
Pennsylvania,2011,22,98
Texas,2011,22,487
Washington,2011,22,2
Arizona,2011,23,97
California,2011,23,588
Colorado,2011,23,84
Georgia,2011,23,300
Illinois,2011,23,392
New York,2011,23,8
Pennsylvania,2011,23,111
Texas,2011,23,391
Washington,2011,23,3
Arizona,2011,24,80
