State,year,week,Total Positives
Arizona,2010,40,1
California,2010,40,6
Colorado,2010,40,1
Georgia,2010,40,2
Illinois,2010,40,0
New York,2010,40,3
Pennsylvania,2010,40,1
Texas,2010,40,2
Washington,2010,40,2
Arizona,2010,41,3
California,2010,41,2
Colorado,2010,41,2
Georgia,2010,41,4
Illinois,2010,41,4
New York,2010,41,2
Pennsylvania,2010,41,0
Texas,2010,41,12
Washington,2010,41,0
Arizona,2010,42,1
California,2010,42,5
Colorado,2010,42,1
Georgia,2010,42,7
Illinois,2010,42,1
New York,2010,42,2
Pennsylvania,2010,42,1
Texas,2010,42,12
Washington,2010,42,0
Arizona,2010,43,2
California,2010,43,3
Colorado,2010,43,3
Georgia,2010,43,7
Illinois,2010,43,0
New York,2010,43,4
Pennsylvania,2010,43,2
Texas,2010,43,10
Washington,2010,43,6
Arizona,2010,44,1
California,2010,44,7
Colorado,2010,44,2
Georgia,2010,44,28
Illinois,2010,44,2
New York,2010,44,9
Pennsylvania,2010,44,7
Texas,2010,44,11
Washington,2010,44,2
Arizona,2010,45,3
California,2010,45,7
Colorado,2010,45,5
Georgia,2010,45,67
Illinois,2010,45,1
New York,2010,45,14
Pennsylvania,2010,45,5
Texas,2010,45,9
Washington,2010,45,1
Arizona,2010,46,1
California,2010,46,13
Colorado,2010,46,3
Georgia,2010,46,119
Illinois,2010,46,3
New York,2010,46,26
Pennsylvania,2010,46,12
Texas,2010,46,16
Washington,2010,46,5
Arizona,2010,47,9
California,2010,47,6
Colorado,2010,47,11
Georgia,2010,47,162
Illinois,2010,47,5
New York,2010,47,28
Pennsylvania,2010,47,18
Texas,2010,47,27
Washington,2010,47,7
Arizona,2010,48,14
California,2010,48,16
Colorado,2010,48,9
Georgia,2010,48,133
Illinois,2010,48,6
New York,2010,48,36
Pennsylvania,2010,48,19
Texas,2010,48,25
Washington,2010,48,9
Arizona,2010,49,55
California,2010,49,18
Colorado,2010,49,13
Georgia,2010,49,140
Illinois,2010,49,15
New York,2010,49,64
Pennsylvania,2010,49,31
Texas,2010,49,49
Washington,2010,49,7
Arizona,2010,50,89
California,2010,50,17
Colorado,2010,50,23
Georgia,2010,50,244
Illinois,2010,50,17
New York,2010,50,74
Pennsylvania,2010,50,57
Texas,2010,50,145
Washington,2010,50,5
Arizona,2010,51,114
California,2010,51,34
Colorado,2010,51,37
Georgia,2010,51,301
Illinois,2010,51,39
New York,2010,51,138
Pennsylvania,2010,51,89
Texas,2010,51,202
Washington,2010,51,12
Arizona,2010,52,131
California,2010,52,35
Colorado,2010,52,59
