Daily Observed Min/Max Temperature & Precipitation,,,,
,Houston TX - KIAH,,,
Date,Min,Max,Avg,Precip
1-Jan-09,39,65,52,-
2-Jan-09,64,77,70.5,-
3-Jan-09,68,83,75.5,-
4-Jan-09,47,77,62,-
5-Jan-09,41,47,44,0.01
6-Jan-09,43,57,50,0.34
7-Jan-09,35,67,51,-
8-Jan-09,43,77,60,-
9-Jan-09,53,78,65.5,-
10-Jan-09,43,72,57.5,-
11-Jan-09,37,59,48,-
12-Jan-09,32,62,47,-
13-Jan-09,40,54,47,-
14-Jan-09,34,63,48.5,-
15-Jan-09,35,66,50.5,-
16-Jan-09,32,50,41,-
17-Jan-09,42,69,55.5,-
18-Jan-09,50,73,61.5,-
19-Jan-09,46,69,57.5,-
20-Jan-09,38,61,49.5,-
21-Jan-09,31,66,48.5,-
22-Jan-09,38,76,57,-
23-Jan-09,54,78,66,-
24-Jan-09,44,65,54.5,-
25-Jan-09,43,52,47.5,-
26-Jan-09,51,73,62,-
27-Jan-09,40,80,60,0.01
28-Jan-09,35,51,43,0.09
29-Jan-09,30,60,45,-
30-Jan-09,34,65,49.5,-
31-Jan-09,36,69,52.5,-
1-Feb-09,49,75,62,0.03
2-Feb-09,38,64,51,-
3-Feb-09,33,71,52,-
4-Feb-09,40,60,50,-
5-Feb-09,37,71,54,-
6-Feb-09,53,76,64.5,-
7-Feb-09,55,77,66,-
8-Feb-09,53,75,64,-
9-Feb-09,65,76,70.5,0.1
10-Feb-09,68,74,71,0.1
11-Feb-09,48,73,60.5,0.43
12-Feb-09,45,74,59.5,-
13-Feb-09,54,73,63.5,0.15
14-Feb-09,56,70,63,0.61
15-Feb-09,56,71,63.5,-
16-Feb-09,50,63,56.5,-
17-Feb-09,52,72,62,0.04
18-Feb-09,55,82,68.5,0.01
19-Feb-09,48,69,58.5,-
20-Feb-09,39,67,53,-
21-Feb-09,47,71,59,0.09
22-Feb-09,36,64,50,-
23-Feb-09,37,65,51,-
24-Feb-09,47,77,62,-
25-Feb-09,63,79,71,-
26-Feb-09,67,81,74,-
27-Feb-09,69,85,77,-
28-Feb-09,42,71,56.5,-
1-Mar-09,35,61,48,-
2-Mar-09,34,66,50,-
3-Mar-09,41,66,53.5,-
4-Mar-09,47,75,61,-
5-Mar-09,61,82,71.5,-
6-Mar-09,65,83,74,-
7-Mar-09,68,81,74.5,-
8-Mar-09,66,83,74.5,-
9-Mar-09,67,83,75,-
10-Mar-09,71,84,77.5,-
11-Mar-09,54,82,68,0.02
12-Mar-09,44,54,49,1.04
13-Mar-09,43,46,44.5,0.6
14-Mar-09,42,48,45,0.29
15-Mar-09,48,54,51,0.45
16-Mar-09,48,75,61.5,-
17-Mar-09,52,71,61.5,-
18-Mar-09,47,78,62.5,-
19-Mar-09,48,79,63.5,-
20-Mar-09,51,81,66,-
21-Mar-09,54,79,66.5,-
22-Mar-09,53,80,66.5,-
23-Mar-09,67,80,73.5,-
24-Mar-09,70,78,74,0.01
25-Mar-09,58,82,70,0.86
26-Mar-09,58,76,67,0.37
27-Mar-09,49,80,64.5,0.39
28-Mar-09,41,64,52.5,-
29-Mar-09,42,72,57,-
30-Mar-09,48,74,61,0.01
31-Mar-09,55,71,63,0.02
1-Apr-09,48,71,59.5,-
2-Apr-09,58,76,67,0.05
3-Apr-09,47,77,62,-
4-Apr-09,52,80,66,-
5-Apr-09,56,78,67,-
6-Apr-09,46,63,54.5,-
7-Apr-09,39,70,54.5,-
8-Apr-09,46,83,64.5,-
9-Apr-09,64,79,71.5,-
10-Apr-09,66,83,74.5,-
11-Apr-09,59,73,66,-
12-Apr-09,59,80,69.5,1.01
13-Apr-09,57,76,66.5,-
14-Apr-09,48,79,63.5,-
15-Apr-09,50,76,63,-
16-Apr-09,57,77,67,-
17-Apr-09,63,71,67,1.82
18-Apr-09,65,72,68.5,5.27
19-Apr-09,62,78,70,-
20-Apr-09,56,79,67.5,-
21-Apr-09,56,87,71.5,-
22-Apr-09,58,90,74,-
23-Apr-09,68,84,76,-
24-Apr-09,66,81,73.5,0.21
25-Apr-09,68,83,75.5,0.05
26-Apr-09,72,82,77,-
27-Apr-09,64,83,73.5,0.72
28-Apr-09,67,80,73.5,1.08
29-Apr-09,73,84,78.5,-
30-Apr-09,71,84,77.5,0.02
1-May-09,74,86,80,-
2-May-09,76,87,81.5,-
3-May-09,67,86,76.5,-
4-May-09,62,86,74,-
5-May-09,71,88,79.5,-
6-May-09,75,89,82,-
