State,year,week,ILITOTAL,last_day_of_the_week,average_temperature,City
Arizona,2010,40,172,2010-10-10,78.64285714285714,Phoenix
California,2010,40,632,2010-10-10,69.85714285714286,Los Angeles
California,2010,40,632,2010-10-10,66.64285714285714,San Francisco
Colorado,2010,40,134,2010-10-10,57.07142857142857,Denver
Georgia,2010,40,647,2010-10-10,64.07142857142857,Atlanta
Illinois,2010,40,505,2010-10-10,61.64285714285714,Chicago
New York,2010,40,37,2010-10-10,60.214285714285715,New York
Pennsylvania,2010,40,122,2010-10-10,60.14285714285714,Philadelphia
Texas,2010,40,1050,2010-10-10,67.71428571428571,Dallas
Texas,2010,40,1050,2010-10-10,68.14285714285714,Houston
Washington,2010,40,16,2010-10-10,57.07142857142857,Seattle
Arizona,2010,41,183,2010-10-17,82.78571428571429,Phoenix
California,2010,41,742,2010-10-17,70.57142857142857,Los Angeles
California,2010,41,742,2010-10-17,70.78571428571429,San Francisco
Colorado,2010,41,115,2010-10-17,51.78571428571429,Denver
Georgia,2010,41,702,2010-10-17,66.5,Atlanta
Illinois,2010,41,600,2010-10-17,58.35714285714285,Chicago
New York,2010,41,47,2010-10-17,58.714285714285715,New York
Pennsylvania,2010,41,157,2010-10-17,59.14285714285714,Philadelphia
Texas,2010,41,1061,2010-10-17,68.92857142857143,Dallas
Texas,2010,41,1061,2010-10-17,73.21428571428571,Houston
Washington,2010,41,34,2010-10-17,51.78571428571429,Seattle
Arizona,2010,42,240,2010-10-24,71.35714285714286,Phoenix
California,2010,42,766,2010-10-24,65.78571428571429,Los Angeles
California,2010,42,766,2010-10-24,62.85714285714285,San Francisco
Colorado,2010,42,152,2010-10-24,52.57142857142857,Denver
Georgia,2010,42,793,2010-10-24,65.21428571428571,Atlanta
Illinois,2010,42,644,2010-10-24,53.78571428571429,Chicago
New York,2010,42,53,2010-10-24,54.92857142857143,New York
Pennsylvania,2010,42,161,2010-10-24,55.35714285714285,Philadelphia
Texas,2010,42,1090,2010-10-24,73.0,Dallas
Texas,2010,42,1090,2010-10-24,76.64285714285714,Houston
Washington,2010,42,28,2010-10-24,52.57142857142857,Seattle
Arizona,2010,43,233,2010-10-31,72.85714285714286,Phoenix
California,2010,43,666,2010-10-31,65.85714285714286,Los Angeles
California,2010,43,666,2010-10-31,60.07142857142857,San Francisco
Colorado,2010,43,175,2010-10-31,49.85714285714285,Denver
Georgia,2010,43,881,2010-10-31,65.42857142857143,Atlanta
Illinois,2010,43,623,2010-10-31,51.35714285714285,Chicago
New York,2010,43,53,2010-10-31,58.714285714285715,New York
Pennsylvania,2010,43,133,2010-10-31,60.5,Philadelphia
Texas,2010,43,1117,2010-10-31,65.78571428571429,Dallas
Texas,2010,43,1117,2010-10-31,73.57142857142857,Houston
Washington,2010,43,30,2010-10-31,49.85714285714285,Seattle
Arizona,2010,44,312,2010-11-07,74.85714285714286,Phoenix
California,2010,44,887,2010-11-07,72.85714285714286,Los Angeles
California,2010,44,887,2010-11-07,62.214285714285715,San Francisco
Colorado,2010,44,193,2010-11-07,53.714285714285715,Denver
Georgia,2010,44,1033,2010-11-07,50.14285714285714,Atlanta
Illinois,2010,44,625,2010-11-07,41.214285714285715,Chicago
New York,2010,44,80,2010-11-07,46.0,New York
Pennsylvania,2010,44,181,2010-11-07,45.85714285714285,Philadelphia
Texas,2010,44,1218,2010-11-07,56.714285714285715,Dallas
Texas,2010,44,1218,2010-11-07,60.78571428571429,Houston
Washington,2010,44,24,2010-11-07,53.714285714285715,Seattle
Arizona,2010,45,239,2010-11-14,62.214285714285715,Phoenix
California,2010,45,906,2010-11-14,61.714285714285715,Los Angeles
California,2010,45,906,2010-11-14,57.35714285714285,San Francisco
Colorado,2010,45,139,2010-11-14,44.85714285714285,Denver
Georgia,2010,45,1390,2010-11-14,57.85714285714285,Atlanta
Illinois,2010,45,651,2010-11-14,51.64285714285714,Chicago
New York,2010,45,78,2010-11-14,49.78571428571429,New York
Pennsylvania,2010,45,184,2010-11-14,51.42857142857143,Philadelphia
Texas,2010,45,1310,2010-11-14,61.85714285714285,Dallas
Texas,2010,45,1310,2010-11-14,64.35714285714286,Houston
Washington,2010,45,40,2010-11-14,44.85714285714285,Seattle
Arizona,2010,46,284,2010-11-21,64.92857142857143,Phoenix
California,2010,46,1020,2010-11-21,59.78571428571429,Los Angeles
California,2010,46,1020,2010-11-21,55.5,San Francisco
Colorado,2010,46,137,2010-11-21,43.07142857142857,Denver
Georgia,2010,46,1938,2010-11-21,55.78571428571429,Atlanta
Illinois,2010,46,661,2010-11-21,40.285714285714285,Chicago
New York,2010,46,79,2010-11-21,49.92857142857143,New York
Pennsylvania,2010,46,170,2010-11-21,50.14285714285714,Philadelphia
Texas,2010,46,1121,2010-11-21,57.714285714285715,Dallas
Texas,2010,46,1121,2010-11-21,60.07142857142857,Houston
Washington,2010,46,44,2010-11-21,43.07142857142857,Seattle
Arizona,2010,47,251,2010-11-28,54.28571428571429,Phoenix
California,2010,47,729,2010-11-28,53.14285714285714,Los Angeles
California,2010,47,729,2010-11-28,47.5,San Francisco
Colorado,2010,47,108,2010-11-28,31.357142857142854,Denver
Georgia,2010,47,1801,2010-11-28,55.42857142857143,Atlanta
Illinois,2010,47,622,2010-11-28,33.5,Chicago
New York,2010,47,58,2010-11-28,46.35714285714285,New York
Pennsylvania,2010,47,144,2010-11-28,46.07142857142857,Philadelphia
Texas,2010,47,964,2010-11-28,59.35714285714285,Dallas
Texas,2010,47,964,2010-11-28,63.14285714285714,Houston
Washington,2010,47,21,2010-11-28,31.357142857142854,Seattle
Arizona,2010,48,371,2010-12-05,56.78571428571429,Phoenix
California,2010,48,939,2010-12-05,57.5,Los Angeles
California,2010,48,939,2010-12-05,49.78571428571429,San Francisco
Colorado,2010,48,168,2010-12-05,41.642857142857146,Denver
Georgia,2010,48,1315,2010-12-05,44.85714285714285,Atlanta
Illinois,2010,48,659,2010-12-05,28.642857142857146,Chicago
