Daily Observed Min/Max Temperature & Precipitation
,JFK NY - KJFK,,,
Date,Min,Max,Avg,Precip
1-Jan-2009,16,28,22.0,-
2-Jan-2009,23,37,30.0,-
3-Jan-2009,30,41,35.5,-
4-Jan-2009,26,44,35.0,-
5-Jan-2009,37,45,41.0,0.01
6-Jan-2009,32,39,35.5,0.03
7-Jan-2009,33,40,36.5,1.54
8-Jan-2009,31,41,36.0,-
9-Jan-2009,27,36,31.5,-
10-Jan-2009,24,32,28.0,0.04
11-Jan-2009,25,35,30.0,0.09
12-Jan-2009,21,34,27.5,-
13-Jan-2009,25,40,32.5,-
14-Jan-2009,18,37,27.5,-
15-Jan-2009,14,24,19.0,0.01
16-Jan-2009,11,19,15.0,-
17-Jan-2009,7,23,15.0,-
18-Jan-2009,23,33,28.0,0.20
19-Jan-2009,20,32,26.0,0.05
20-Jan-2009,21,29,25.0,-
21-Jan-2009,17,27,22.0,-
22-Jan-2009,21,37,29.0,-
23-Jan-2009,25,42,33.5,-
24-Jan-2009,17,44,30.5,-
25-Jan-2009,15,29,22.0,-
26-Jan-2009,20,29,24.5,-
27-Jan-2009,27,31,29.0,-
28-Jan-2009,25,42,33.5,0.88
29-Jan-2009,28,37,32.5,-
30-Jan-2009,25,36,30.5,-
31-Jan-2009,22,30,26.0,-
1-Feb-2009,28,50,39.0,-
2-Feb-2009,32,53,42.5,-
3-Feb-2009,26,37,31.5,0.06
4-Feb-2009,17,30,23.5,-
5-Feb-2009,12,24,18.0,-
6-Feb-2009,16,30,23.0,-
7-Feb-2009,19,43,31.0,-
8-Feb-2009,37,61,49.0,-
9-Feb-2009,32,47,39.5,-
10-Feb-2009,30,49,39.5,-
11-Feb-2009,38,62,50.0,0.01
12-Feb-2009,45,55,50.0,0.06
13-Feb-2009,32,46,39.0,-
14-Feb-2009,28,43,35.5,-
15-Feb-2009,29,44,36.5,-
16-Feb-2009,28,41,34.5,-
17-Feb-2009,26,42,34.0,-
18-Feb-2009,27,43,35.0,0.34
19-Feb-2009,28,51,39.5,0.02
20-Feb-2009,24,35,29.5,-
21-Feb-2009,27,41,34.0,-
22-Feb-2009,32,45,38.5,0.15
23-Feb-2009,25,36,30.5,-
24-Feb-2009,23,38,30.5,-
25-Feb-2009,24,38,31.0,-
26-Feb-2009,30,47,38.5,-
27-Feb-2009,34,53,43.5,0.01
28-Feb-2009,33,52,42.5,-
1-Mar-2009,29,36,32.5,0.17
2-Mar-2009,17,30,23.5,0.33
3-Mar-2009,13,27,20.0,-
4-Mar-2009,17,34,25.5,-
5-Mar-2009,19,38,28.5,-
6-Mar-2009,36,45,40.5,-
7-Mar-2009,39,68,53.5,-
8-Mar-2009,40,66,53.0,0.01
9-Mar-2009,39,51,45.0,0.08
10-Mar-2009,35,44,39.5,-
11-Mar-2009,41,56,48.5,0.01
12-Mar-2009,33,45,39.0,-
13-Mar-2009,27,37,32.0,-
14-Mar-2009,31,47,39.0,-
15-Mar-2009,40,48,44.0,-
16-Mar-2009,34,51,42.5,-
17-Mar-2009,35,49,42.0,-
18-Mar-2009,34,54,44.0,-
19-Mar-2009,39,51,45.0,0.10
20-Mar-2009,34,46,40.0,0.02
21-Mar-2009,29,44,36.5,-
22-Mar-2009,32,58,45.0,-
23-Mar-2009,28,45,36.5,-
24-Mar-2009,28,49,38.5,-
25-Mar-2009,31,47,39.0,-
26-Mar-2009,36,47,41.5,0.50
27-Mar-2009,42,61,51.5,-
28-Mar-2009,45,59,52.0,0.15
29-Mar-2009,47,54,50.5,0.56
30-Mar-2009,42,56,49.0,-
31-Mar-2009,39,58,48.5,-
1-Apr-2009,42,49,45.5,0.11
2-Apr-2009,46,64,55.0,0.05
3-Apr-2009,48,60,54.0,0.69
4-Apr-2009,49,55,52.0,-
5-Apr-2009,46,66,56.0,-
6-Apr-2009,44,53,48.5,0.68
7-Apr-2009,40,49,44.5,-
8-Apr-2009,36,50,43.0,-
9-Apr-2009,37,59,48.0,-
10-Apr-2009,41,56,48.5,0.01
11-Apr-2009,43,50,46.5,0.84
12-Apr-2009,37,50,43.5,-
13-Apr-2009,35,58,46.5,-
14-Apr-2009,45,50,47.5,0.18
15-Apr-2009,41,56,48.5,0.16
16-Apr-2009,38,62,50.0,-
17-Apr-2009,39,64,51.5,-
18-Apr-2009,50,78,64.0,-
19-Apr-2009,46,61,53.5,-
20-Apr-2009,45,54,49.5,1.22
21-Apr-2009,47,55,51.0,0.08
22-Apr-2009,47,55,51.0,0.09
23-Apr-2009,44,59,51.5,-
24-Apr-2009,41,64,52.5,-
25-Apr-2009,49,69,59.0,-
26-Apr-2009,59,86,72.5,-
27-Apr-2009,57,75,66.0,-
28-Apr-2009,59,85,72.0,-
29-Apr-2009,46,70,58.0,0.04
30-Apr-2009,47,58,52.5,-
1-May-2009,52,67,59.5,0.22
2-May-2009,52,63,57.5,0.15
3-May-2009,52,57,54.5,0.41
4-May-2009,52,62,57.0,0.44
5-May-2009,51,55,53.0,0.52
6-May-2009,50,61,55.5,0.41
7-May-2009,52,67,59.5,0.24
8-May-2009,55,69,62.0,-
9-May-2009,57,75,66.0,0.44
10-May-2009,55,72,63.5,-
11-May-2009,51,62,56.5,-
12-May-2009,49,70,59.5,-
13-May-2009,47,63,55.0,-
14-May-2009,55,64,59.5,0.19
15-May-2009,56,71,63.5,-
16-May-2009,56,65,60.5,-
17-May-2009,53,63,58.0,-
18-May-2009,50,60,55.0,-
19-May-2009,44,65,54.5,-
20-May-2009,50,73,61.5,-
21-May-2009,53,72,62.5,-
22-May-2009,57,77,67.0,-
23-May-2009,57,73,65.0,-
24-May-2009,58,76,67.0,0.07
25-May-2009,62,80,71.0,-
26-May-2009,52,66,59.0,0.01
27-May-2009,53,68,60.5,0.01
28-May-2009,55,61,58.0,0.20
29-May-2009,54,69,61.5,1.03
30-May-2009,61,77,69.0,-
31-May-2009,56,80,68.0,-
1-Jun-2009,50,65,57.5,-
2-Jun-2009,60,81,70.5,0.21
3-Jun-2009,56,73,64.5,0.32
4-Jun-2009,55,65,60.0,0.60
5-Jun-2009,57,60,58.5,0.60
6-Jun-2009,58,73,65.5,-
7-Jun-2009,62,78,70.0,-
8-Jun-2009,60,76,68.0,-
9-Jun-2009,61,70,65.5,1.11
10-Jun-2009,61,70,65.5,-
11-Jun-2009,61,65,63.0,0.05
12-Jun-2009,63,79,71.0,1.07
13-Jun-2009,62,76,69.0,-
14-Jun-2009,58,71,64.5,0.01
15-Jun-2009,57,68,62.5,0.21
16-Jun-2009,56,66,61.0,-
17-Jun-2009,53,66,59.5,0.01
18-Jun-2009,62,65,63.5,1.89
19-Jun-2009,64,79,71.5,-
20-Jun-2009,65,72,68.5,0.40
21-Jun-2009,63,80,71.5,0.68
22-Jun-2009,66,76,71.0,-
23-Jun-2009,65,80,72.5,0.08
24-Jun-2009,64,78,71.0,0.01
25-Jun-2009,64,76,70.0,-
26-Jun-2009,65,81,73.0,0.04
27-Jun-2009,64,83,73.5,0.01
28-Jun-2009,66,80,73.0,-
29-Jun-2009,67,83,75.0,-
30-Jun-2009,66,80,73.0,0.05
1-Jul-2009,68,81,74.5,0.04
2-Jul-2009,68,79,73.5,0.02
3-Jul-2009,68,81,74.5,0.02
4-Jul-2009,68,83,75.5,-
5-Jul-2009,64,80,72.0,-
6-Jul-2009,64,84,74.0,-
7-Jul-2009,64,80,72.0,0.51
8-Jul-2009,59,81,70.0,-
9-Jul-2009,62,73,67.5,-
10-Jul-2009,58,76,67.0,-
11-Jul-2009,62,76,69.0,0.34
12-Jul-2009,65,84,74.5,0.13
13-Jul-2009,60,77,68.5,-
14-Jul-2009,64,83,73.5,-
15-Jul-2009,62,80,71.0,-
16-Jul-2009,70,82,76.0,-
17-Jul-2009,68,84,76.0,-
18-Jul-2009,73,85,79.0,-
19-Jul-2009,67,81,74.0,-
20-Jul-2009,65,82,73.5,-
21-Jul-2009,66,72,69.0,0.76
22-Jul-2009,66,80,73.0,-
23-Jul-2009,65,76,70.5,0.55
24-Jul-2009,65,80,72.5,0.04
25-Jul-2009,66,82,74.0,-
26-Jul-2009,72,84,78.0,0.31
