Daily Observed Min/Max Temperature & Precipitation,,,,
,San Francisco CA - KSFO,,,
Date,Min,Max,Avg,Precip
1-Jan-09,44,50,47,-
2-Jan-09,45,57,51,0.03
3-Jan-09,36,52,44,-
4-Jan-09,33,50,41.5,-
5-Jan-09,44,48,46,0.02
6-Jan-09,45,53,49,-
7-Jan-09,46,52,49,-
8-Jan-09,43,53,48,-
9-Jan-09,40,58,49,-
10-Jan-09,44,62,53,-
11-Jan-09,39,57,48,-
12-Jan-09,47,70,58.5,-
13-Jan-09,49,72,60.5,-
14-Jan-09,45,64,54.5,-
15-Jan-09,44,68,56,-
16-Jan-09,46,64,55,-
17-Jan-09,43,60,51.5,-
18-Jan-09,44,66,55,-
19-Jan-09,43,67,55,-
20-Jan-09,44,65,54.5,-
21-Jan-09,51,56,53.5,0.12
22-Jan-09,51,58,54.5,0.33
23-Jan-09,52,55,53.5,0.18
24-Jan-09,49,55,52,-
25-Jan-09,45,55,50,-
26-Jan-09,40,54,47,-
27-Jan-09,40,54,47,-
28-Jan-09,39,59,49,-
29-Jan-09,42,66,54,-
30-Jan-09,42,62,52,-
31-Jan-09,41,60,50.5,-
1-Feb-09,41,66,53.5,-
2-Feb-09,42,65,53.5,-
3-Feb-09,45,67,56,-
4-Feb-09,43,63,53,-
5-Feb-09,51,58,54.5,0.15
6-Feb-09,51,55,53,0.16
7-Feb-09,49,61,55,-
8-Feb-09,44,56,50,0.2
9-Feb-09,43,52,47.5,-
10-Feb-09,39,52,45.5,0.08
11-Feb-09,43,55,49,0.1
12-Feb-09,45,52,48.5,-
13-Feb-09,44,53,48.5,0.54
14-Feb-09,42,54,48,0.03
15-Feb-09,46,51,48.5,2.09
16-Feb-09,46,55,50.5,0.71
17-Feb-09,48,54,51,0.48
18-Feb-09,42,58,50,-
19-Feb-09,42,64,53,-
20-Feb-09,45,62,53.5,-
21-Feb-09,48,61,54.5,-
22-Feb-09,53,58,55.5,1.02
23-Feb-09,54,59,56.5,0.14
24-Feb-09,50,60,55,0.1
25-Feb-09,50,61,55.5,0.01
26-Feb-09,48,58,53,0.04
27-Feb-09,47,56,51.5,-
28-Feb-09,48,61,54.5,-
1-Mar-09,54,63,58.5,0.28
2-Mar-09,54,60,57,0.71
3-Mar-09,48,59,53.5,0.57
4-Mar-09,44,55,49.5,0.06
5-Mar-09,47,56,51.5,0.19
6-Mar-09,48,56,52,-
7-Mar-09,43,60,51.5,-
8-Mar-09,47,56,51.5,-
9-Mar-09,43,54,48.5,-
10-Mar-09,38,57,47.5,-
11-Mar-09,40,60,50,-
12-Mar-09,43,59,51,-
13-Mar-09,47,57,52,-
14-Mar-09,48,53,50.5,-
15-Mar-09,50,59,54.5,0.04
16-Mar-09,53,64,58.5,0.02
17-Mar-09,52,63,57.5,-
