Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,27,49,38.0,-,GA,Atlanta
2009-01-02,39,48,43.5,0.13,GA,Atlanta
2009-01-03,46,58,52.0,0.24,GA,Atlanta
2009-01-04,54,65,59.5,0.07,GA,Atlanta
2009-01-05,58,67,62.5,0.74,GA,Atlanta
2009-01-06,57,71,64.0,0.18,GA,Atlanta
2009-01-07,43,58,50.5,0.85,GA,Atlanta
2009-01-08,38,57,47.5,-,GA,Atlanta
2009-01-09,31,60,45.5,-,GA,Atlanta
2009-01-10,41,63,52.0,0.1,GA,Atlanta
2009-01-11,32,61,46.5,0.04,GA,Atlanta
2009-01-12,28,52,40.0,-,GA,Atlanta
2009-01-13,33,56,44.5,-,GA,Atlanta
2009-01-14,24,51,37.5,-,GA,Atlanta
2009-01-15,21,40,30.5,-,GA,Atlanta
2009-01-16,12,32,22.0,-,GA,Atlanta
2009-01-17,18,40,29.0,-,GA,Atlanta
2009-01-18,38,54,46.0,0.15,GA,Atlanta
2009-01-19,30,50,40.0,-,GA,Atlanta
2009-01-20,22,32,27.0,-,GA,Atlanta
2009-01-21,18,41,29.5,-,GA,Atlanta
2009-01-22,26,53,39.5,-,GA,Atlanta
2009-01-23,36,67,51.5,-,GA,Atlanta
2009-01-24,40,58,49.0,0.26,GA,Atlanta
2009-01-25,31,53,42.0,-,GA,Atlanta
2009-01-26,43,52,47.5,0.01,GA,Atlanta
2009-01-27,43,62,52.5,-,GA,Atlanta
2009-01-28,39,62,50.5,0.11,GA,Atlanta
2009-01-29,32,51,41.5,-,GA,Atlanta
2009-01-30,30,46,38.0,-,GA,Atlanta
2009-01-31,31,53,42.0,-,GA,Atlanta
2009-02-01,31,61,46.0,-,GA,Atlanta
2009-02-02,33,56,44.5,0.14,GA,Atlanta
2009-02-03,22,50,36.0,-,GA,Atlanta
2009-02-04,16,33,24.5,-,GA,Atlanta
2009-02-05,16,44,30.0,-,GA,Atlanta
2009-02-06,28,63,45.5,-,GA,Atlanta
2009-02-07,39,66,52.5,-,GA,Atlanta
2009-02-08,45,70,57.5,-,GA,Atlanta
2009-02-09,47,70,58.5,-,GA,Atlanta
2009-02-10,46,69,57.5,-,GA,Atlanta
2009-02-11,52,68,60.0,0.01,GA,Atlanta
2009-02-12,46,66,56.0,-,GA,Atlanta
2009-02-13,41,69,55.0,-,GA,Atlanta
2009-02-14,47,58,52.5,0.01,GA,Atlanta
2009-02-15,40,61,50.5,-,GA,Atlanta
2009-02-16,33,53,43.0,-,GA,Atlanta
2009-02-17,30,53,41.5,0.02,GA,Atlanta
2009-02-18,46,69,57.5,0.77,GA,Atlanta
2009-02-19,34,57,45.5,-,GA,Atlanta
2009-02-20,25,45,35.0,-,GA,Atlanta
2009-02-21,29,57,43.0,-,GA,Atlanta
2009-02-22,31,48,39.5,-,GA,Atlanta
2009-02-23,26,49,37.5,-,GA,Atlanta
2009-02-24,30,54,42.0,0.01,GA,Atlanta
2009-02-25,41,57,49.0,-,GA,Atlanta
2009-02-26,46,69,57.5,-,GA,Atlanta
2009-02-27,54,61,57.5,1.12,GA,Atlanta
2009-02-28,52,69,60.5,1.62,GA,Atlanta
2009-03-01,33,52,42.5,0.84,GA,Atlanta
2009-03-02,27,42,34.5,-,GA,Atlanta
2009-03-03,21,46,33.5,-,GA,Atlanta
2009-03-04,30,54,42.0,-,GA,Atlanta
2009-03-05,34,63,48.5,-,GA,Atlanta
2009-03-06,49,70,59.5,-,GA,Atlanta
2009-03-07,51,74,62.5,-,GA,Atlanta
2009-03-08,50,74,62.0,-,GA,Atlanta
2009-03-09,60,80,70.0,-,GA,Atlanta
2009-03-10,61,80,70.5,-,GA,Atlanta
2009-03-11,54,77,65.5,-,GA,Atlanta
2009-03-12,45,72,58.5,-,GA,Atlanta
2009-03-13,44,58,51.0,-,GA,Atlanta
2009-03-14,40,45,42.5,0.48,GA,Atlanta
2009-03-15,44,53,48.5,1.15,GA,Atlanta
2009-03-16,51,58,54.5,0.64,GA,Atlanta
2009-03-17,47,69,58.0,-,GA,Atlanta
2009-03-18,47,66,56.5,-,GA,Atlanta
2009-03-19,47,74,60.5,-,GA,Atlanta
2009-03-20,47,66,56.5,-,GA,Atlanta
2009-03-21,41,64,52.5,-,GA,Atlanta
2009-03-22,41,68,54.5,-,GA,Atlanta
2009-03-23,46,71,58.5,-,GA,Atlanta
2009-03-24,49,69,59.0,-,GA,Atlanta
2009-03-25,55,66,60.5,0.16,GA,Atlanta
2009-03-26,55,67,61.0,0.99,GA,Atlanta
2009-03-27,57,64,60.5,1.69,GA,Atlanta
2009-03-28,59,63,61.0,0.99,GA,Atlanta
2009-03-29,42,62,52.0,-,GA,Atlanta
2009-03-30,37,67,52.0,-,GA,Atlanta
2009-03-31,49,62,55.5,0.01,GA,Atlanta
2009-04-01,57,68,62.5,0.39,GA,Atlanta
2009-04-02,59,62,60.5,1.22,GA,Atlanta
2009-04-03,48,63,55.5,-,GA,Atlanta
2009-04-04,42,75,58.5,-,GA,Atlanta
2009-04-05,54,63,58.5,0.07,GA,Atlanta
2009-04-06,39,62,50.5,0.07,GA,Atlanta
2009-04-07,34,47,40.5,-,GA,Atlanta
2009-04-08,33,67,50.0,-,GA,Atlanta
2009-04-09,49,75,62.0,-,GA,Atlanta
2009-04-10,58,75,66.5,0.34,GA,Atlanta
2009-04-11,48,61,54.5,-,GA,Atlanta
2009-04-12,44,71,57.5,-,GA,Atlanta
2009-04-13,51,64,57.5,1.26,GA,Atlanta
2009-04-14,49,65,57.0,0.09,GA,Atlanta
2009-04-15,45,61,53.0,-,GA,Atlanta
2009-04-16,45,69,57.0,-,GA,Atlanta
2009-04-17,47,69,58.0,-,GA,Atlanta
2009-04-18,45,72,58.5,-,GA,Atlanta
2009-04-19,58,69,63.5,0.11,GA,Atlanta
2009-04-20,53,69,61.0,0.31,GA,Atlanta
2009-04-21,50,70,60.0,-,GA,Atlanta
2009-04-22,44,71,57.5,-,GA,Atlanta
2009-04-23,58,81,69.5,1.39,GA,Atlanta
2009-04-24,58,85,71.5,-,GA,Atlanta
2009-04-25,60,85,72.5,-,GA,Atlanta
2009-04-26,60,80,70.0,-,GA,Atlanta
2009-04-27,59,78,68.5,-,GA,Atlanta
2009-04-28,61,79,70.0,-,GA,Atlanta
2009-04-29,60,80,70.0,-,GA,Atlanta
2009-04-30,61,80,70.5,-,GA,Atlanta
2009-05-01,63,77,70.0,0.23,GA,Atlanta
2009-05-02,61,78,69.5,0.38,GA,Atlanta
2009-05-03,63,80,71.5,0.09,GA,Atlanta
2009-05-04,62,75,68.5,0.9,GA,Atlanta
2009-05-05,64,80,72.0,-,GA,Atlanta
2009-05-06,64,77,70.5,0.67,GA,Atlanta
2009-05-07,66,82,74.0,0.14,GA,Atlanta
2009-05-08,68,82,75.0,-,GA,Atlanta
2009-05-09,67,82,74.5,-,GA,Atlanta
2009-05-10,64,79,71.5,0.04,GA,Atlanta
2009-05-11,61,77,69.0,0.15,GA,Atlanta
2009-05-12,58,72,65.0,-,GA,Atlanta
2009-05-13,58,69,63.5,-,GA,Atlanta
2009-05-14,64,81,72.5,-,GA,Atlanta
2009-05-15,66,85,75.5,-,GA,Atlanta
2009-05-16,66,73,69.5,1.08,GA,Atlanta
2009-05-17,54,66,60.0,0.24,GA,Atlanta
2009-05-18,51,68,59.5,-,GA,Atlanta
2009-05-19,50,70,60.0,-,GA,Atlanta
2009-05-20,59,79,69.0,-,GA,Atlanta
2009-05-21,63,72,67.5,0.01,GA,Atlanta
2009-05-22,64,74,69.0,0.16,GA,Atlanta
2009-05-23,65,78,71.5,0.3,GA,Atlanta
2009-05-24,66,79,72.5,0.13,GA,Atlanta
2009-05-25,66,80,73.0,0.01,GA,Atlanta
2009-05-26,64,78,71.0,0.24,GA,Atlanta
2009-05-27,66,83,74.5,-,GA,Atlanta
2009-05-28,67,84,75.5,-,GA,Atlanta
2009-05-29,65,80,72.5,-,GA,Atlanta
2009-05-30,60,83,71.5,-,GA,Atlanta
2009-05-31,65,89,77.0,-,GA,Atlanta
2009-06-01,67,90,78.5,-,GA,Atlanta
2009-06-02,69,90,79.5,-,GA,Atlanta
2009-06-03,69,86,77.5,-,GA,Atlanta
2009-06-04,68,76,72.0,0.84,GA,Atlanta
2009-06-05,66,81,73.5,-,GA,Atlanta
2009-06-06,63,82,72.5,-,GA,Atlanta
2009-06-07,66,84,75.0,-,GA,Atlanta
2009-06-08,67,87,77.0,-,GA,Atlanta
2009-06-09,69,87,78.0,-,GA,Atlanta
2009-06-10,71,88,79.5,0.38,GA,Atlanta
2009-06-11,71,89,80.0,-,GA,Atlanta
2009-06-12,69,89,79.0,1.02,GA,Atlanta
2009-06-13,67,81,74.0,-,GA,Atlanta
2009-06-14,68,84,76.0,-,GA,Atlanta
2009-06-15,67,87,77.0,-,GA,Atlanta
2009-06-16,70,90,80.0,-,GA,Atlanta
2009-06-17,72,91,81.5,-,GA,Atlanta
2009-06-18,73,93,83.0,0.01,GA,Atlanta
2009-06-19,73,92,82.5,-,GA,Atlanta
2009-06-20,73,94,83.5,-,GA,Atlanta
2009-06-21,75,94,84.5,-,GA,Atlanta
2009-06-22,75,93,84.0,-,GA,Atlanta
2009-06-23,75,93,84.0,-,GA,Atlanta
2009-06-24,74,92,83.0,-,GA,Atlanta
2009-06-25,72,93,82.5,-,GA,Atlanta
2009-06-26,73,94,83.5,-,GA,Atlanta
2009-06-27,76,96,86.0,-,GA,Atlanta
2009-06-28,77,95,86.0,-,GA,Atlanta
2009-06-29,72,91,81.5,-,GA,Atlanta
2009-06-30,66,92,79.0,-,GA,Atlanta
2009-07-01,73,95,84.0,-,GA,Atlanta
2009-07-02,69,90,79.5,-,GA,Atlanta
2009-07-03,68,89,78.5,-,GA,Atlanta
2009-07-04,66,91,78.5,-,GA,Atlanta
2009-07-05,72,80,76.0,0.1,GA,Atlanta
2009-07-06,70,87,78.5,0.92,GA,Atlanta
2009-07-07,73,86,79.5,0.23,GA,Atlanta
2009-07-08,72,82,77.0,0.03,GA,Atlanta
2009-07-09,70,84,77.0,-,GA,Atlanta
2009-07-10,68,84,76.0,-,GA,Atlanta
2009-07-11,69,86,77.5,-,GA,Atlanta
2009-07-12,70,90,80.0,1.87,GA,Atlanta
2009-07-13,70,84,77.0,0.32,GA,Atlanta
2009-07-14,72,89,80.5,-,GA,Atlanta
2009-07-15,73,89,81.0,-,GA,Atlanta
2009-07-16,74,90,82.0,-,GA,Atlanta
2009-07-17,72,88,80.0,-,GA,Atlanta
2009-07-18,64,82,73.0,-,GA,Atlanta
2009-07-19,63,80,71.5,-,GA,Atlanta
2009-07-20,61,82,71.5,-,GA,Atlanta
2009-07-21,63,86,74.5,-,GA,Atlanta
2009-07-22,68,84,76.0,-,GA,Atlanta
2009-07-23,73,87,80.0,0.02,GA,Atlanta
2009-07-24,67,88,77.5,-,GA,Atlanta
2009-07-25,69,90,79.5,-,GA,Atlanta
2009-07-26,72,92,82.0,-,GA,Atlanta
2009-07-27,72,90,81.0,-,GA,Atlanta
2009-07-28,71,89,80.0,0.2,GA,Atlanta
2009-07-29,71,85,78.0,0.11,GA,Atlanta
2009-07-30,72,82,77.0,0.33,GA,Atlanta
2009-07-31,71,85,78.0,0.85,GA,Atlanta
2009-08-01,73,89,81.0,0.01,GA,Atlanta
2009-08-02,72,83,77.5,1.02,GA,Atlanta
2009-08-03,72,90,81.0,-,GA,Atlanta
2009-08-04,73,92,82.5,-,GA,Atlanta
2009-08-05,73,92,82.5,-,GA,Atlanta
2009-08-06,70,89,79.5,0.01,GA,Atlanta
2009-08-07,72,91,81.5,-,GA,Atlanta
