Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,17,31,24.0,-,IL,Chicago
2009-01-02,18,30,24.0,-,IL,Chicago
2009-01-03,17,36,26.5,0.01,IL,Chicago
2009-01-04,17,37,27.0,0.1,IL,Chicago
2009-01-05,11,29,20.0,-,IL,Chicago
2009-01-06,16,30,23.0,0.05,IL,Chicago
2009-01-07,13,29,21.0,0.02,IL,Chicago
2009-01-08,12,21,16.5,-,IL,Chicago
2009-01-09,12,29,20.5,0.25,IL,Chicago
2009-01-10,20,29,24.5,0.35,IL,Chicago
2009-01-11,13,20,16.5,-,IL,Chicago
2009-01-12,3,29,16.0,0.1,IL,Chicago
2009-01-13,-2,29,13.5,-,IL,Chicago
2009-01-14,-1,14,6.5,0.16,IL,Chicago
2009-01-15,-13,-1,-7.0,-,IL,Chicago
2009-01-16,-18,2,-8.0,-,IL,Chicago
2009-01-17,3,24,13.5,-,IL,Chicago
2009-01-18,8,17,12.5,-,IL,Chicago
2009-01-19,9,23,16.0,-,IL,Chicago
2009-01-20,11,24,17.5,-,IL,Chicago
2009-01-21,13,28,20.5,-,IL,Chicago
2009-01-22,14,33,23.5,-,IL,Chicago
2009-01-23,13,34,23.5,-,IL,Chicago
2009-01-24,-1,13,6.0,-,IL,Chicago
2009-01-25,-2,13,5.5,-,IL,Chicago
2009-01-26,-1,17,8.0,-,IL,Chicago
2009-01-27,7,20,13.5,0.04,IL,Chicago
2009-01-28,8,18,13.0,0.07,IL,Chicago
2009-01-29,14,30,22.0,-,IL,Chicago
2009-01-30,4,14,9.0,-,IL,Chicago
2009-01-31,7,38,22.5,-,IL,Chicago
2009-02-01,24,36,30.0,-,IL,Chicago
2009-02-02,9,26,17.5,-,IL,Chicago
2009-02-03,1,20,10.5,-,IL,Chicago
2009-02-04,0,17,8.5,-,IL,Chicago
2009-02-05,-4,25,10.5,-,IL,Chicago
2009-02-06,8,42,25.0,-,IL,Chicago
2009-02-07,36,56,46.0,-,IL,Chicago
2009-02-08,25,43,34.0,-,IL,Chicago
2009-02-09,26,53,39.5,0.12,IL,Chicago
2009-02-10,41,61,51.0,-,IL,Chicago
2009-02-11,36,50,43.0,0.75,IL,Chicago
2009-02-12,30,38,34.0,-,IL,Chicago
2009-02-13,25,36,30.5,0.04,IL,Chicago
2009-02-14,23,34,28.5,0.01,IL,Chicago
2009-02-15,19,31,25.0,-,IL,Chicago
2009-02-16,17,33,25.0,-,IL,Chicago
2009-02-17,26,43,34.5,-,IL,Chicago
2009-02-18,18,38,28.0,0.22,IL,Chicago
2009-02-19,11,23,17.0,-,IL,Chicago
2009-02-20,12,28,20.0,-,IL,Chicago
2009-02-21,20,29,24.5,0.14,IL,Chicago
2009-02-22,13,24,18.5,-,IL,Chicago
2009-02-23,9,27,18.0,-,IL,Chicago
2009-02-24,17,39,28.0,-,IL,Chicago
2009-02-25,35,54,44.5,0.01,IL,Chicago
2009-02-26,32,53,42.5,1.95,IL,Chicago
2009-02-27,21,34,27.5,0.07,IL,Chicago
2009-02-28,20,27,23.5,-,IL,Chicago
2009-03-01,14,22,18.0,-,IL,Chicago
2009-03-02,14,22,18.0,0.01,IL,Chicago
2009-03-03,16,30,23.0,-,IL,Chicago
2009-03-04,26,44,35.0,-,IL,Chicago
2009-03-05,36,65,50.5,-,IL,Chicago
2009-03-06,39,65,52.0,-,IL,Chicago
2009-03-07,39,45,42.0,0.87,IL,Chicago
2009-03-08,33,44,38.5,1.68,IL,Chicago
2009-03-09,33,44,38.5,0.07,IL,Chicago
2009-03-10,33,61,47.0,0.51,IL,Chicago
2009-03-11,17,33,25.0,-,IL,Chicago
2009-03-12,14,26,20.0,-,IL,Chicago
2009-03-13,19,40,29.5,-,IL,Chicago
