Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,36,46,41.0,0.72,CO,Denver
2009-01-02,33,38,35.5,0.12,CO,Denver
2009-01-03,32,40,36.0,-,CO,Denver
2009-01-04,30,38,34.0,0.57,CO,Denver
2009-01-05,34,46,40.0,0.03,CO,Denver
2009-01-06,42,53,47.5,1.23,CO,Denver
2009-01-07,50,52,51.0,2.35,CO,Denver
2009-01-08,37,50,43.5,0.04,CO,Denver
2009-01-09,36,43,39.5,-,CO,Denver
2009-01-10,39,44,41.5,0.14,CO,Denver
2009-01-11,44,48,46.0,0.02,CO,Denver
2009-01-12,46,49,47.5,0.08,CO,Denver
2009-01-13,40,46,43.0,-,CO,Denver
2009-01-14,36,42,39.0,-,CO,Denver
2009-01-15,35,42,38.5,-,CO,Denver
2009-01-16,32,37,34.5,-,CO,Denver
2009-01-17,32,44,38.0,-,CO,Denver
2009-01-18,30,51,40.5,-,CO,Denver
2009-01-19,29,42,35.5,-,CO,Denver
2009-01-20,30,39,34.5,-,CO,Denver
2009-01-21,31,40,35.5,-,CO,Denver
2009-01-22,32,39,35.5,-,CO,Denver
2009-01-23,31,41,36.0,-,CO,Denver
2009-01-24,29,41,35.0,0.04,CO,Denver
2009-01-25,29,35,32.0,0.02,CO,Denver
2009-01-26,25,39,32.0,-,CO,Denver
2009-01-27,30,42,36.0,0.09,CO,Denver
2009-01-28,37,46,41.5,-,CO,Denver
2009-01-29,35,47,41.0,-,CO,Denver
2009-01-30,31,49,40.0,-,CO,Denver
2009-01-31,34,45,39.5,0.02,CO,Denver
2009-02-01,33,43,38.0,-,CO,Denver
2009-02-02,38,52,45.0,-,CO,Denver
2009-02-03,32,55,43.5,-,CO,Denver
2009-02-04,36,63,49.5,-,CO,Denver
2009-02-05,38,49,43.5,0.01,CO,Denver
2009-02-06,38,44,41.0,0.04,CO,Denver
2009-02-07,32,42,37.0,-,CO,Denver
2009-02-08,32,44,38.0,0.01,CO,Denver
2009-02-09,33,41,37.0,0.05,CO,Denver
2009-02-10,31,39,35.0,0.23,CO,Denver
2009-02-11,32,46,39.0,-,CO,Denver
2009-02-12,31,46,38.5,-,CO,Denver
2009-02-13,34,45,39.5,-,CO,Denver
2009-02-14,35,47,41.0,-,CO,Denver
2009-02-15,33,46,39.5,0.05,CO,Denver
2009-02-16,34,48,41.0,-,CO,Denver
2009-02-17,39,50,44.5,-,CO,Denver
2009-02-18,35,54,44.5,-,CO,Denver
2009-02-19,33,51,42.0,-,CO,Denver
2009-02-20,30,52,41.0,-,CO,Denver
2009-02-21,33,55,44.0,-,CO,Denver
2009-02-22,43,57,50.0,0.07,CO,Denver
2009-02-23,44,57,50.5,0.23,CO,Denver
2009-02-24,44,48,46.0,0.29,CO,Denver
2009-02-25,33,45,39.0,0.25,CO,Denver
2009-02-26,26,38,32.0,0.21,CO,Denver
2009-02-27,34,47,40.5,-,CO,Denver
2009-02-28,38,54,46.0,-,CO,Denver
2009-03-01,44,57,50.5,0.31,CO,Denver
2009-03-02,44,57,50.5,0.1,CO,Denver
2009-03-03,42,55,48.5,0.24,CO,Denver
2009-03-04,40,46,43.0,0.03,CO,Denver
2009-03-05,34,45,39.5,0.05,CO,Denver
2009-03-06,28,45,36.5,-,CO,Denver
2009-03-07,31,45,38.0,0.08,CO,Denver
2009-03-08,30,40,35.0,0.29,CO,Denver
2009-03-09,31,37,34.0,0.37,CO,Denver
2009-03-10,27,40,33.5,-,CO,Denver
2009-03-11,26,44,35.0,-,CO,Denver
2009-03-12,29,51,40.0,-,CO,Denver
2009-03-13,33,55,44.0,-,CO,Denver
2009-03-14,38,45,41.5,0.48,CO,Denver
2009-03-15,33,46,39.5,0.7,CO,Denver
2009-03-16,35,44,39.5,0.24,CO,Denver
2009-03-17,35,46,40.5,0.26,CO,Denver
2009-03-18,38,54,46.0,-,CO,Denver
2009-03-19,43,50,46.5,0.08,CO,Denver
2009-03-20,36,56,46.0,0.12,CO,Denver
2009-03-21,29,49,39.0,-,CO,Denver
2009-03-22,39,49,44.0,0.01,CO,Denver
2009-03-23,37,46,41.5,0.07,CO,Denver
2009-03-24,40,48,44.0,-,CO,Denver
2009-03-25,38,47,42.5,0.05,CO,Denver
2009-03-26,33,52,42.5,-,CO,Denver
2009-03-27,41,51,46.0,-,CO,Denver
2009-03-28,34,43,38.5,0.33,CO,Denver
2009-03-29,34,50,42.0,0.04,CO,Denver
2009-03-30,38,47,42.5,-,CO,Denver
2009-03-31,37,48,42.5,0.17,CO,Denver
2009-04-01,34,46,40.0,0.35,CO,Denver
2009-04-02,39,46,42.5,0.83,CO,Denver
2009-04-03,35,50,42.5,0.08,CO,Denver
2009-04-04,33,57,45.0,-,CO,Denver
2009-04-05,40,69,54.5,-,CO,Denver
2009-04-06,40,70,55.0,-,CO,Denver
2009-04-07,43,66,54.5,-,CO,Denver
2009-04-08,44,53,48.5,-,CO,Denver
2009-04-09,43,58,50.5,0.03,CO,Denver
2009-04-10,44,50,47.0,0.04,CO,Denver
2009-04-11,44,51,47.5,0.04,CO,Denver
2009-04-12,43,53,48.0,0.74,CO,Denver
2009-04-13,37,48,42.5,0.32,CO,Denver
2009-04-14,37,52,44.5,0.01,CO,Denver
2009-04-15,35,54,44.5,-,CO,Denver
2009-04-16,37,60,48.5,0.01,CO,Denver
2009-04-17,43,60,51.5,0.26,CO,Denver
2009-04-18,38,58,48.0,-,CO,Denver
2009-04-19,47,68,57.5,-,CO,Denver
2009-04-20,47,74,60.5,-,CO,Denver
2009-04-21,48,71,59.5,-,CO,Denver
2009-04-22,39,53,46.0,0.24,CO,Denver
2009-04-23,37,54,45.5,0.06,CO,Denver
2009-04-24,37,60,48.5,-,CO,Denver
2009-04-25,41,53,47.0,-,CO,Denver
2009-04-26,40,58,49.0,-,CO,Denver
2009-04-27,44,62,53.0,-,CO,Denver
2009-04-28,45,54,49.5,0.12,CO,Denver
2009-04-29,44,59,51.5,-,CO,Denver
2009-04-30,41,64,52.5,-,CO,Denver
2009-05-01,45,73,59.0,-,CO,Denver
2009-05-02,46,66,56.0,0.32,CO,Denver
2009-05-03,44,62,53.0,0.01,CO,Denver
2009-05-04,45,62,53.5,0.31,CO,Denver
2009-05-05,47,56,51.5,0.61,CO,Denver
2009-05-06,46,54,50.0,0.9,CO,Denver
2009-05-07,44,58,51.0,-,CO,Denver
2009-05-08,43,58,50.5,-,CO,Denver
2009-05-09,44,64,54.0,-,CO,Denver
2009-05-10,45,64,54.5,0.04,CO,Denver
2009-05-11,45,61,53.0,0.02,CO,Denver
2009-05-12,40,56,48.0,0.01,CO,Denver
2009-05-13,42,52,47.0,0.4,CO,Denver
2009-05-14,45,55,50.0,0.32,CO,Denver
2009-05-15,43,66,54.5,-,CO,Denver
2009-05-16,46,76,61.0,-,CO,Denver
2009-05-17,50,75,62.5,-,CO,Denver
2009-05-18,48,66,57.0,0.39,CO,Denver
2009-05-19,46,58,52.0,0.12,CO,Denver
2009-05-20,46,62,54.0,-,CO,Denver
2009-05-21,45,67,56.0,-,CO,Denver
2009-05-22,49,70,59.5,-,CO,Denver
2009-05-23,49,71,60.0,-,CO,Denver
2009-05-24,47,71,59.0,-,CO,Denver
2009-05-25,47,69,58.0,-,CO,Denver
2009-05-26,52,65,58.5,-,CO,Denver
2009-05-27,46,67,56.5,-,CO,Denver
2009-05-28,48,77,62.5,-,CO,Denver
2009-05-29,55,83,69.0,-,CO,Denver
2009-05-30,53,78,65.5,-,CO,Denver
2009-05-31,54,80,67.0,-,CO,Denver
2009-06-01,53,82,67.5,-,CO,Denver
2009-06-02,61,88,74.5,-,CO,Denver
2009-06-03,64,89,76.5,-,CO,Denver
2009-06-04,60,91,75.5,-,CO,Denver
2009-06-05,56,68,62.0,-,CO,Denver
2009-06-06,55,63,59.0,-,CO,Denver
