Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,32,69,50.5,-,TX,Dallas
2009-01-02,45,77,61.0,-,TX,Dallas
2009-01-03,64,84,74.0,-,TX,Dallas
2009-01-04,37,66,51.5,-,TX,Dallas
2009-01-05,33,38,35.5,0.51,TX,Dallas
2009-01-06,36,65,50.5,0.01,TX,Dallas
2009-01-07,36,67,51.5,-,TX,Dallas
2009-01-08,40,74,57.0,-,TX,Dallas
2009-01-09,51,81,66.0,-,TX,Dallas
2009-01-10,35,59,47.0,-,TX,Dallas
2009-01-11,29,64,46.5,-,TX,Dallas
2009-01-12,36,65,50.5,-,TX,Dallas
2009-01-13,30,46,38.0,-,TX,Dallas
2009-01-14,30,62,46.0,-,TX,Dallas
2009-01-15,25,44,34.5,-,TX,Dallas
2009-01-16,22,44,33.0,-,TX,Dallas
2009-01-17,44,69,56.5,-,TX,Dallas
2009-01-18,39,66,52.5,-,TX,Dallas
2009-01-19,46,60,53.0,-,TX,Dallas
2009-01-20,35,56,45.5,-,TX,Dallas
2009-01-21,31,70,50.5,-,TX,Dallas
2009-01-22,32,80,56.0,-,TX,Dallas
2009-01-23,44,79,61.5,-,TX,Dallas
2009-01-24,32,44,38.0,-,TX,Dallas
2009-01-25,37,54,45.5,-,TX,Dallas
2009-01-26,35,46,40.5,0.09,TX,Dallas
2009-01-27,26,36,31.0,0.21,TX,Dallas
2009-01-28,20,40,30.0,-,TX,Dallas
2009-01-29,25,54,39.5,-,TX,Dallas
2009-01-30,28,65,46.5,-,TX,Dallas
2009-01-31,33,71,52.0,-,TX,Dallas
2009-02-01,41,71,56.0,-,TX,Dallas
2009-02-02,34,57,45.5,-,TX,Dallas
2009-02-03,32,67,49.5,-,TX,Dallas
2009-02-04,26,55,40.5,-,TX,Dallas
2009-02-05,36,71,53.5,-,TX,Dallas
2009-02-06,56,75,65.5,-,TX,Dallas
2009-02-07,61,76,68.5,-,TX,Dallas
2009-02-08,56,73,64.5,-,TX,Dallas
2009-02-09,52,69,60.5,0.33,TX,Dallas
2009-02-10,55,76,65.5,0.39,TX,Dallas
2009-02-11,48,66,57.0,-,TX,Dallas
2009-02-12,44,73,58.5,-,TX,Dallas
2009-02-13,49,75,62.0,-,TX,Dallas
2009-02-14,36,52,44.0,-,TX,Dallas
2009-02-15,37,58,47.5,-,TX,Dallas
2009-02-16,36,58,47.0,-,TX,Dallas
2009-02-17,51,66,58.5,-,TX,Dallas
2009-02-18,52,74,63.0,-,TX,Dallas
2009-02-19,37,56,46.5,-,TX,Dallas
2009-02-20,34,69,51.5,-,TX,Dallas
2009-02-21,35,56,45.5,0.01,TX,Dallas
2009-02-22,30,60,45.0,-,TX,Dallas
2009-02-23,41,65,53.0,-,TX,Dallas
2009-02-24,51,80,65.5,-,TX,Dallas
2009-02-25,58,82,70.0,-,TX,Dallas
2009-02-26,68,86,77.0,-,TX,Dallas
2009-02-27,48,72,60.0,-,TX,Dallas
2009-02-28,34,50,42.0,0.01,TX,Dallas
2009-03-01,29,53,41.0,-,TX,Dallas
2009-03-02,30,60,45.0,-,TX,Dallas
2009-03-03,43,68,55.5,-,TX,Dallas
2009-03-04,52,77,64.5,-,TX,Dallas
2009-03-05,62,86,74.0,-,TX,Dallas
2009-03-06,64,82,73.0,-,TX,Dallas
2009-03-07,66,77,71.5,-,TX,Dallas
2009-03-08,65,79,72.0,0.01,TX,Dallas
2009-03-09,65,81,73.0,-,TX,Dallas
2009-03-10,49,77,63.0,-,TX,Dallas
2009-03-11,38,49,43.5,3.46,TX,Dallas
2009-03-12,38,43,40.5,0.12,TX,Dallas
2009-03-13,38,41,39.5,0.67,TX,Dallas
2009-03-14,41,52,46.5,0.03,TX,Dallas
