Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,39,65,52.0,-,TX,Houston
2009-01-02,64,77,70.5,-,TX,Houston
2009-01-03,68,83,75.5,-,TX,Houston
2009-01-04,47,77,62.0,-,TX,Houston
2009-01-05,41,47,44.0,0.01,TX,Houston
2009-01-06,43,57,50.0,0.34,TX,Houston
2009-01-07,35,67,51.0,-,TX,Houston
2009-01-08,43,77,60.0,-,TX,Houston
2009-01-09,53,78,65.5,-,TX,Houston
2009-01-10,43,72,57.5,-,TX,Houston
2009-01-11,37,59,48.0,-,TX,Houston
2009-01-12,32,62,47.0,-,TX,Houston
2009-01-13,40,54,47.0,-,TX,Houston
2009-01-14,34,63,48.5,-,TX,Houston
2009-01-15,35,66,50.5,-,TX,Houston
2009-01-16,32,50,41.0,-,TX,Houston
2009-01-17,42,69,55.5,-,TX,Houston
2009-01-18,50,73,61.5,-,TX,Houston
2009-01-19,46,69,57.5,-,TX,Houston
2009-01-20,38,61,49.5,-,TX,Houston
2009-01-21,31,66,48.5,-,TX,Houston
2009-01-22,38,76,57.0,-,TX,Houston
2009-01-23,54,78,66.0,-,TX,Houston
2009-01-24,44,65,54.5,-,TX,Houston
2009-01-25,43,52,47.5,-,TX,Houston
2009-01-26,51,73,62.0,-,TX,Houston
2009-01-27,40,80,60.0,0.01,TX,Houston
2009-01-28,35,51,43.0,0.09,TX,Houston
2009-01-29,30,60,45.0,-,TX,Houston
2009-01-30,34,65,49.5,-,TX,Houston
2009-01-31,36,69,52.5,-,TX,Houston
2009-02-01,49,75,62.0,0.03,TX,Houston
2009-02-02,38,64,51.0,-,TX,Houston
2009-02-03,33,71,52.0,-,TX,Houston
2009-02-04,40,60,50.0,-,TX,Houston
2009-02-05,37,71,54.0,-,TX,Houston
2009-02-06,53,76,64.5,-,TX,Houston
2009-02-07,55,77,66.0,-,TX,Houston
2009-02-08,53,75,64.0,-,TX,Houston
2009-02-09,65,76,70.5,0.1,TX,Houston
2009-02-10,68,74,71.0,0.1,TX,Houston
2009-02-11,48,73,60.5,0.43,TX,Houston
2009-02-12,45,74,59.5,-,TX,Houston
2009-02-13,54,73,63.5,0.15,TX,Houston
2009-02-14,56,70,63.0,0.61,TX,Houston
2009-02-15,56,71,63.5,-,TX,Houston
2009-02-16,50,63,56.5,-,TX,Houston
2009-02-17,52,72,62.0,0.04,TX,Houston
2009-02-18,55,82,68.5,0.01,TX,Houston
2009-02-19,48,69,58.5,-,TX,Houston
2009-02-20,39,67,53.0,-,TX,Houston
2009-02-21,47,71,59.0,0.09,TX,Houston
2009-02-22,36,64,50.0,-,TX,Houston
2009-02-23,37,65,51.0,-,TX,Houston
2009-02-24,47,77,62.0,-,TX,Houston
2009-02-25,63,79,71.0,-,TX,Houston
2009-02-26,67,81,74.0,-,TX,Houston
2009-02-27,69,85,77.0,-,TX,Houston
2009-02-28,42,71,56.5,-,TX,Houston
2009-03-01,35,61,48.0,-,TX,Houston
2009-03-02,34,66,50.0,-,TX,Houston
2009-03-03,41,66,53.5,-,TX,Houston
2009-03-04,47,75,61.0,-,TX,Houston
2009-03-05,61,82,71.5,-,TX,Houston
2009-03-06,65,83,74.0,-,TX,Houston
2009-03-07,68,81,74.5,-,TX,Houston
2009-03-08,66,83,74.5,-,TX,Houston
2009-03-09,67,83,75.0,-,TX,Houston
2009-03-10,71,84,77.5,-,TX,Houston
2009-03-11,54,82,68.0,0.02,TX,Houston
2009-03-12,44,54,49.0,1.04,TX,Houston
2009-03-13,43,46,44.5,0.6,TX,Houston
2009-03-14,42,48,45.0,0.29,TX,Houston
2009-03-15,48,54,51.0,0.45,TX,Houston
2009-03-16,48,75,61.5,-,TX,Houston
2009-03-17,52,71,61.5,-,TX,Houston
2009-03-18,47,78,62.5,-,TX,Houston
2009-03-19,48,79,63.5,-,TX,Houston
2009-03-20,51,81,66.0,-,TX,Houston
2009-03-21,54,79,66.5,-,TX,Houston
2009-03-22,53,80,66.5,-,TX,Houston
2009-03-23,67,80,73.5,-,TX,Houston
2009-03-24,70,78,74.0,0.01,TX,Houston
2009-03-25,58,82,70.0,0.86,TX,Houston
2009-03-26,58,76,67.0,0.37,TX,Houston
2009-03-27,49,80,64.5,0.39,TX,Houston
2009-03-28,41,64,52.5,-,TX,Houston
2009-03-29,42,72,57.0,-,TX,Houston
2009-03-30,48,74,61.0,0.01,TX,Houston
2009-03-31,55,71,63.0,0.02,TX,Houston
2009-04-01,48,71,59.5,-,TX,Houston
2009-04-02,58,76,67.0,0.05,TX,Houston
2009-04-03,47,77,62.0,-,TX,Houston
2009-04-04,52,80,66.0,-,TX,Houston
2009-04-05,56,78,67.0,-,TX,Houston
2009-04-06,46,63,54.5,-,TX,Houston
2009-04-07,39,70,54.5,-,TX,Houston
2009-04-08,46,83,64.5,-,TX,Houston
2009-04-09,64,79,71.5,-,TX,Houston
2009-04-10,66,83,74.5,-,TX,Houston
2009-04-11,59,73,66.0,-,TX,Houston
2009-04-12,59,80,69.5,1.01,TX,Houston
2009-04-13,57,76,66.5,-,TX,Houston
2009-04-14,48,79,63.5,-,TX,Houston
2009-04-15,50,76,63.0,-,TX,Houston
2009-04-16,57,77,67.0,-,TX,Houston
2009-04-17,63,71,67.0,1.82,TX,Houston
2009-04-18,65,72,68.5,5.27,TX,Houston
2009-04-19,62,78,70.0,-,TX,Houston
2009-04-20,56,79,67.5,-,TX,Houston
2009-04-21,56,87,71.5,-,TX,Houston
2009-04-22,58,90,74.0,-,TX,Houston
2009-04-23,68,84,76.0,-,TX,Houston
2009-04-24,66,81,73.5,0.21,TX,Houston
2009-04-25,68,83,75.5,0.05,TX,Houston
2009-04-26,72,82,77.0,-,TX,Houston
2009-04-27,64,83,73.5,0.72,TX,Houston
2009-04-28,67,80,73.5,1.08,TX,Houston
2009-04-29,73,84,78.5,-,TX,Houston
2009-04-30,71,84,77.5,0.02,TX,Houston
2009-05-01,74,86,80.0,-,TX,Houston
2009-05-02,76,87,81.5,-,TX,Houston
2009-05-03,67,86,76.5,-,TX,Houston
2009-05-04,62,86,74.0,-,TX,Houston
2009-05-05,71,88,79.5,-,TX,Houston
2009-05-06,75,89,82.0,-,TX,Houston
2009-05-07,76,90,83.0,-,TX,Houston
2009-05-08,77,90,83.5,-,TX,Houston
2009-05-09,73,91,82.0,-,TX,Houston
2009-05-10,73,90,81.5,-,TX,Houston
2009-05-11,74,89,81.5,0.03,TX,Houston
2009-05-12,71,89,80.0,-,TX,Houston
2009-05-13,72,91,81.5,-,TX,Houston
2009-05-14,72,89,80.5,-,TX,Houston
2009-05-15,71,90,80.5,-,TX,Houston
2009-05-16,69,90,79.5,0.16,TX,Houston
2009-05-17,61,76,68.5,-,TX,Houston
2009-05-18,56,79,67.5,-,TX,Houston
2009-05-19,56,82,69.0,-,TX,Houston
2009-05-20,55,84,69.5,-,TX,Houston
2009-05-21,63,90,76.5,-,TX,Houston
2009-05-22,68,84,76.0,0.07,TX,Houston
2009-05-23,68,85,76.5,-,TX,Houston
2009-05-24,70,83,76.5,0.12,TX,Houston
2009-05-25,67,90,78.5,-,TX,Houston
2009-05-26,76,92,84.0,-,TX,Houston
2009-05-27,71,85,78.0,-,TX,Houston
2009-05-28,69,90,79.5,-,TX,Houston
2009-05-29,65,92,78.5,-,TX,Houston
2009-05-30,65,94,79.5,-,TX,Houston
2009-05-31,66,89,77.5,-,TX,Houston
2009-06-01,63,89,76.0,-,TX,Houston
2009-06-02,68,91,79.5,-,TX,Houston
2009-06-03,71,95,83.0,-,TX,Houston
2009-06-04,69,86,77.5,-,TX,Houston
2009-06-05,66,90,78.0,-,TX,Houston
2009-06-06,66,91,78.5,-,TX,Houston
2009-06-07,65,92,78.5,-,TX,Houston
2009-06-08,69,93,81.0,-,TX,Houston
2009-06-09,73,95,84.0,-,TX,Houston
2009-06-10,75,95,85.0,-,TX,Houston
2009-06-11,79,96,87.5,-,TX,Houston
2009-06-12,78,98,88.0,-,TX,Houston
2009-06-13,78,98,88.0,-,TX,Houston
2009-06-14,75,97,86.0,-,TX,Houston
2009-06-15,75,98,86.5,-,TX,Houston
2009-06-16,77,98,87.5,-,TX,Houston
2009-06-17,78,97,87.5,-,TX,Houston
2009-06-18,79,98,88.5,-,TX,Houston
2009-06-19,77,98,87.5,-,TX,Houston
2009-06-20,75,97,86.0,-,TX,Houston
2009-06-21,74,98,86.0,-,TX,Houston
2009-06-22,75,99,87.0,-,TX,Houston
2009-06-23,78,101,89.5,-,TX,Houston
2009-06-24,79,104,91.5,-,TX,Houston
2009-06-25,80,102,91.0,-,TX,Houston
2009-06-26,77,104,90.5,-,TX,Houston
2009-06-27,82,101,91.5,-,TX,Houston
2009-06-28,81,102,91.5,-,TX,Houston
2009-06-29,77,103,90.0,-,TX,Houston
2009-06-30,78,97,87.5,-,TX,Houston
2009-07-01,77,98,87.5,-,TX,Houston
