Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,16,28,22.0,-,NY,New York
2009-01-02,23,37,30.0,-,NY,New York
2009-01-03,30,41,35.5,-,NY,New York
2009-01-04,26,44,35.0,-,NY,New York
2009-01-05,37,45,41.0,0.01,NY,New York
2009-01-06,32,39,35.5,0.03,NY,New York
2009-01-07,33,40,36.5,1.54,NY,New York
2009-01-08,31,41,36.0,-,NY,New York
2009-01-09,27,36,31.5,-,NY,New York
2009-01-10,24,32,28.0,0.04,NY,New York
2009-01-11,25,35,30.0,0.09,NY,New York
2009-01-12,21,34,27.5,-,NY,New York
2009-01-13,25,40,32.5,-,NY,New York
2009-01-14,18,37,27.5,-,NY,New York
2009-01-15,14,24,19.0,0.01,NY,New York
2009-01-16,11,19,15.0,-,NY,New York
2009-01-17,7,23,15.0,-,NY,New York
2009-01-18,23,33,28.0,0.20,NY,New York
2009-01-19,20,32,26.0,0.05,NY,New York
2009-01-20,21,29,25.0,-,NY,New York
2009-01-21,17,27,22.0,-,NY,New York
2009-01-22,21,37,29.0,-,NY,New York
2009-01-23,25,42,33.5,-,NY,New York
2009-01-24,17,44,30.5,-,NY,New York
2009-01-25,15,29,22.0,-,NY,New York
2009-01-26,20,29,24.5,-,NY,New York
2009-01-27,27,31,29.0,-,NY,New York
2009-01-28,25,42,33.5,0.88,NY,New York
2009-01-29,28,37,32.5,-,NY,New York
2009-01-30,25,36,30.5,-,NY,New York
2009-01-31,22,30,26.0,-,NY,New York
2009-02-01,28,50,39.0,-,NY,New York
2009-02-02,32,53,42.5,-,NY,New York
2009-02-03,26,37,31.5,0.06,NY,New York
2009-02-04,17,30,23.5,-,NY,New York
2009-02-05,12,24,18.0,-,NY,New York
2009-02-06,16,30,23.0,-,NY,New York
2009-02-07,19,43,31.0,-,NY,New York
2009-02-08,37,61,49.0,-,NY,New York
2009-02-09,32,47,39.5,-,NY,New York
2009-02-10,30,49,39.5,-,NY,New York
2009-02-11,38,62,50.0,0.01,NY,New York
2009-02-12,45,55,50.0,0.06,NY,New York
2009-02-13,32,46,39.0,-,NY,New York
2009-02-14,28,43,35.5,-,NY,New York
2009-02-15,29,44,36.5,-,NY,New York
2009-02-16,28,41,34.5,-,NY,New York
2009-02-17,26,42,34.0,-,NY,New York
2009-02-18,27,43,35.0,0.34,NY,New York
2009-02-19,28,51,39.5,0.02,NY,New York
2009-02-20,24,35,29.5,-,NY,New York
2009-02-21,27,41,34.0,-,NY,New York
2009-02-22,32,45,38.5,0.15,NY,New York
2009-02-23,25,36,30.5,-,NY,New York
2009-02-24,23,38,30.5,-,NY,New York
2009-02-25,24,38,31.0,-,NY,New York
2009-02-26,30,47,38.5,-,NY,New York
2009-02-27,34,53,43.5,0.01,NY,New York
2009-02-28,33,52,42.5,-,NY,New York
2009-03-01,29,36,32.5,0.17,NY,New York
2009-03-02,17,30,23.5,0.33,NY,New York
2009-03-03,13,27,20.0,-,NY,New York
2009-03-04,17,34,25.5,-,NY,New York
