Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,46,68,57.0,-,CA,Los Angeles
2009-01-02,49,55,52.0,-,CA,Los Angeles
2009-01-03,52,64,58.0,-,CA,Los Angeles
2009-01-04,47,66,56.5,-,CA,Los Angeles
2009-01-05,41,62,51.5,-,CA,Los Angeles
2009-01-06,46,65,55.5,-,CA,Los Angeles
2009-01-07,46,71,58.5,-,CA,Los Angeles
2009-01-08,48,68,58.0,-,CA,Los Angeles
2009-01-09,51,72,61.5,-,CA,Los Angeles
2009-01-10,45,75,60.0,-,CA,Los Angeles
2009-01-11,48,83,65.5,-,CA,Los Angeles
2009-01-12,51,88,69.5,-,CA,Los Angeles
2009-01-13,54,85,69.5,-,CA,Los Angeles
2009-01-14,52,86,69.0,-,CA,Los Angeles
2009-01-15,50,85,67.5,-,CA,Los Angeles
2009-01-16,49,83,66.0,-,CA,Los Angeles
2009-01-17,53,82,67.5,-,CA,Los Angeles
2009-01-18,55,84,69.5,-,CA,Los Angeles
2009-01-19,59,83,71.0,-,CA,Los Angeles
2009-01-20,61,85,73.0,-,CA,Los Angeles
2009-01-21,63,78,70.5,-,CA,Los Angeles
2009-01-22,62,73,67.5,0.03,CA,Los Angeles
2009-01-23,59,66,62.5,0.24,CA,Los Angeles
2009-01-24,55,65,60.0,0.08,CA,Los Angeles
2009-01-25,52,64,58.0,-,CA,Los Angeles
2009-01-26,47,63,55.0,-,CA,Los Angeles
2009-01-27,44,68,56.0,-,CA,Los Angeles
2009-01-28,46,75,60.5,-,CA,Los Angeles
2009-01-29,47,80,63.5,-,CA,Los Angeles
2009-01-30,47,80,63.5,-,CA,Los Angeles
2009-01-31,52,79,65.5,-,CA,Los Angeles
2009-02-01,51,71,61.0,-,CA,Los Angeles
2009-02-02,50,82,66.0,-,CA,Los Angeles
2009-02-03,52,83,67.5,-,CA,Los Angeles
2009-02-04,51,80,65.5,-,CA,Los Angeles
2009-02-05,55,64,59.5,0.91,CA,Los Angeles
2009-02-06,53,61,57.0,0.66,CA,Los Angeles
2009-02-07,51,60,55.5,0.01,CA,Los Angeles
2009-02-08,51,60,55.5,-,CA,Los Angeles
2009-02-09,46,55,50.5,0.43,CA,Los Angeles
2009-02-10,45,60,52.5,-,CA,Los Angeles
2009-02-11,41,60,50.5,-,CA,Los Angeles
2009-02-12,44,61,52.5,-,CA,Los Angeles
2009-02-13,47,56,51.5,0.26,CA,Los Angeles
2009-02-14,41,58,49.5,-,CA,Los Angeles
2009-02-15,43,61,52.0,-,CA,Los Angeles
2009-02-16,47,58,52.5,1.03,CA,Los Angeles
2009-02-17,48,59,53.5,0.36,CA,Los Angeles
2009-02-18,47,65,56.0,-,CA,Los Angeles
2009-02-19,47,75,61.0,-,CA,Los Angeles
2009-02-20,51,75,63.0,-,CA,Los Angeles
2009-02-21,50,72,61.0,-,CA,Los Angeles
2009-02-22,57,73,65.0,-,CA,Los Angeles
2009-02-23,56,73,64.5,-,CA,Los Angeles
2009-02-24,51,71,61.0,-,CA,Los Angeles
2009-02-25,52,64,58.0,-,CA,Los Angeles
2009-02-26,49,66,57.5,-,CA,Los Angeles
2009-02-27,52,69,60.5,-,CA,Los Angeles
2009-02-28,52,84,68.0,-,CA,Los Angeles
2009-03-01,55,84,69.5,-,CA,Los Angeles
2009-03-02,58,71,64.5,-,CA,Los Angeles
2009-03-03,54,68,61.0,-,CA,Los Angeles
2009-03-04,50,63,56.5,0.25,CA,Los Angeles
2009-03-05,45,63,54.0,-,CA,Los Angeles
2009-03-06,46,63,54.5,-,CA,Los Angeles
2009-03-07,51,66,58.5,-,CA,Los Angeles
2009-03-08,48,64,56.0,-,CA,Los Angeles
2009-03-09,53,63,58.0,-,CA,Los Angeles
2009-03-10,49,66,57.5,-,CA,Los Angeles
2009-03-11,48,62,55.0,-,CA,Los Angeles
2009-03-12,53,65,59.0,-,CA,Los Angeles
2009-03-13,49,67,58.0,-,CA,Los Angeles
2009-03-14,55,66,60.5,-,CA,Los Angeles
2009-03-15,52,64,58.0,-,CA,Los Angeles
2009-03-16,50,70,60.0,-,CA,Los Angeles
2009-03-17,51,77,64.0,-,CA,Los Angeles
2009-03-18,54,84,69.0,-,CA,Los Angeles
2009-03-19,55,74,64.5,-,CA,Los Angeles
2009-03-20,55,67,61.0,-,CA,Los Angeles
2009-03-21,55,63,59.0,-,CA,Los Angeles
2009-03-22,52,63,57.5,0.08,CA,Los Angeles
2009-03-23,51,69,60.0,-,CA,Los Angeles
2009-03-24,48,76,62.0,-,CA,Los Angeles
2009-03-25,52,78,65.0,-,CA,Los Angeles
2009-03-26,54,70,62.0,-,CA,Los Angeles
2009-03-27,55,76,65.5,-,CA,Los Angeles
2009-03-28,54,81,67.5,-,CA,Los Angeles
2009-03-29,54,66,60.0,-,CA,Los Angeles
2009-03-30,54,70,62.0,-,CA,Los Angeles
2009-03-31,53,74,63.5,-,CA,Los Angeles
2009-04-01,54,70,62.0,-,CA,Los Angeles
2009-04-02,56,64,60.0,-,CA,Los Angeles
