Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,19,30,24.5,-,PA,Philadelphia
2009-01-02,23,37,30.0,-,PA,Philadelphia
2009-01-03,26,40,33.0,-,PA,Philadelphia
2009-01-04,22,43,32.5,-,PA,Philadelphia
2009-01-05,38,48,43.0,-,PA,Philadelphia
2009-01-06,31,41,36.0,0.21,PA,Philadelphia
2009-01-07,32,43,37.5,1.61,PA,Philadelphia
2009-01-08,30,42,36.0,-,PA,Philadelphia
2009-01-09,26,35,30.5,-,PA,Philadelphia
2009-01-10,27,35,31.0,0.04,PA,Philadelphia
2009-01-11,26,35,30.5,0.03,PA,Philadelphia
2009-01-12,23,36,29.5,-,PA,Philadelphia
2009-01-13,25,40,32.5,-,PA,Philadelphia
2009-01-14,21,36,28.5,-,PA,Philadelphia
2009-01-15,15,26,20.5,-,PA,Philadelphia
2009-01-16,10,18,14.0,-,PA,Philadelphia
2009-01-17,6,22,14.0,-,PA,Philadelphia
2009-01-18,22,37,29.5,0.01,PA,Philadelphia
2009-01-19,23,31,27.0,0.04,PA,Philadelphia
2009-01-20,18,29,23.5,-,PA,Philadelphia
2009-01-21,18,27,22.5,-,PA,Philadelphia
2009-01-22,20,42,31.0,-,PA,Philadelphia
2009-01-23,23,53,38.0,-,PA,Philadelphia
2009-01-24,22,45,33.5,-,PA,Philadelphia
2009-01-25,15,30,22.5,-,PA,Philadelphia
2009-01-26,21,29,25.0,-,PA,Philadelphia
2009-01-27,26,31,28.5,0.05,PA,Philadelphia
2009-01-28,24,42,33.0,0.88,PA,Philadelphia
2009-01-29,25,33,29.0,-,PA,Philadelphia
2009-01-30,22,36,29.0,-,PA,Philadelphia
2009-01-31,21,28,24.5,-,PA,Philadelphia
2009-02-01,27,53,40.0,-,PA,Philadelphia
2009-02-02,30,54,42.0,-,PA,Philadelphia
2009-02-03,29,36,32.5,0.51,PA,Philadelphia
2009-02-04,20,31,25.5,0.06,PA,Philadelphia
2009-02-05,15,22,18.5,-,PA,Philadelphia
2009-02-06,15,33,24.0,-,PA,Philadelphia
2009-02-07,18,51,34.5,-,PA,Philadelphia
2009-02-08,39,61,50.0,-,PA,Philadelphia
2009-02-09,28,49,38.5,-,PA,Philadelphia
2009-02-10,33,54,43.5,-,PA,Philadelphia
2009-02-11,42,69,55.5,0.04,PA,Philadelphia
2009-02-12,44,59,51.5,-,PA,Philadelphia
2009-02-13,36,45,40.5,-,PA,Philadelphia
2009-02-14,30,42,36.0,-,PA,Philadelphia
2009-02-15,29,42,35.5,-,PA,Philadelphia
2009-02-16,28,41,34.5,-,PA,Philadelphia
2009-02-17,24,42,33.0,-,PA,Philadelphia
2009-02-18,28,47,37.5,0.18,PA,Philadelphia
2009-02-19,27,49,38.0,-,PA,Philadelphia
2009-02-20,24,35,29.5,-,PA,Philadelphia
2009-02-21,24,42,33.0,-,PA,Philadelphia
2009-02-22,30,43,36.5,0.05,PA,Philadelphia
2009-02-23,26,37,31.5,-,PA,Philadelphia
2009-02-24,21,38,29.5,-,PA,Philadelphia
2009-02-25,23,45,34.0,-,PA,Philadelphia
2009-02-26,29,50,39.5,-,PA,Philadelphia
2009-02-27,36,64,50.0,-,PA,Philadelphia
2009-02-28,33,54,43.5,-,PA,Philadelphia
2009-03-01,29,38,33.5,0.16,PA,Philadelphia
2009-03-02,17,30,23.5,0.03,PA,Philadelphia
2009-03-03,13,27,20.0,-,PA,Philadelphia
2009-03-04,15,34,24.5,-,PA,Philadelphia
2009-03-05,18,45,31.5,-,PA,Philadelphia
2009-03-06,38,58,48.0,-,PA,Philadelphia
2009-03-07,42,72,57.0,-,PA,Philadelphia
2009-03-08,49,69,59.0,-,PA,Philadelphia
2009-03-09,46,61,53.5,-,PA,Philadelphia
2009-03-10,40,47,43.5,-,PA,Philadelphia
2009-03-11,41,64,52.5,-,PA,Philadelphia
2009-03-12,35,48,41.5,-,PA,Philadelphia
2009-03-13,31,43,37.0,-,PA,Philadelphia
2009-03-14,33,49,41.0,-,PA,Philadelphia
2009-03-15,39,46,42.5,-,PA,Philadelphia
2009-03-16,40,53,46.5,-,PA,Philadelphia
2009-03-17,40,59,49.5,-,PA,Philadelphia
2009-03-18,36,64,50.0,-,PA,Philadelphia
2009-03-19,42,55,48.5,0.11,PA,Philadelphia
2009-03-20,35,45,40.0,-,PA,Philadelphia
2009-03-21,30,50,40.0,-,PA,Philadelphia
2009-03-22,34,59,46.5,-,PA,Philadelphia
2009-03-23,30,47,38.5,-,PA,Philadelphia
2009-03-24,25,50,37.5,-,PA,Philadelphia
2009-03-25,30,55,42.5,-,PA,Philadelphia
2009-03-26,41,48,44.5,0.31,PA,Philadelphia
2009-03-27,42,63,52.5,-,PA,Philadelphia
2009-03-28,47,54,50.5,0.3,PA,Philadelphia
2009-03-29,46,74,60.0,0.36,PA,Philadelphia
2009-03-30,42,52,47.0,-,PA,Philadelphia
2009-03-31,37,61,49.0,-,PA,Philadelphia
2009-04-01,40,53,46.5,0.25,PA,Philadelphia
2009-04-02,49,69,59.0,-,PA,Philadelphia
2009-04-03,53,71,62.0,0.58,PA,Philadelphia
2009-04-04,49,61,55.0,-,PA,Philadelphia
2009-04-05,43,67,55.0,-,PA,Philadelphia
2009-04-06,48,60,54.0,0.38,PA,Philadelphia
2009-04-07,37,48,42.5,-,PA,Philadelphia
2009-04-08,37,53,45.0,-,PA,Philadelphia
2009-04-09,38,63,50.5,-,PA,Philadelphia
2009-04-10,44,70,57.0,-,PA,Philadelphia
2009-04-11,41,53,47.0,0.44,PA,Philadelphia
2009-04-12,37,53,45.0,-,PA,Philadelphia
2009-04-13,34,57,45.5,0.11,PA,Philadelphia
2009-04-14,43,48,45.5,0.62,PA,Philadelphia
2009-04-15,39,48,43.5,0.43,PA,Philadelphia
2009-04-16,37,64,50.5,-,PA,Philadelphia
2009-04-17,38,70,54.0,-,PA,Philadelphia
2009-04-18,46,78,62.0,-,PA,Philadelphia
2009-04-19,49,69,59.0,-,PA,Philadelphia
2009-04-20,48,52,50.0,0.73,PA,Philadelphia
2009-04-21,49,69,59.0,0.28,PA,Philadelphia
2009-04-22,46,55,50.5,0.01,PA,Philadelphia
2009-04-23,44,60,52.0,-,PA,Philadelphia
2009-04-24,40,74,57.0,-,PA,Philadelphia
2009-04-25,52,90,71.0,-,PA,Philadelphia
2009-04-26,63,93,78.0,-,PA,Philadelphia
2009-04-27,62,92,77.0,-,PA,Philadelphia
2009-04-28,64,88,76.0,-,PA,Philadelphia
2009-04-29,49,70,59.5,0.09,PA,Philadelphia
2009-04-30,49,68,58.5,-,PA,Philadelphia
2009-05-01,58,73,65.5,0.04,PA,Philadelphia
2009-05-02,58,66,62.0,0.12,PA,Philadelphia
2009-05-03,52,58,55.0,0.48,PA,Philadelphia
2009-05-04,51,55,53.0,0.57,PA,Philadelphia
2009-05-05,51,58,54.5,0.34,PA,Philadelphia
2009-05-06,52,67,59.5,1.1,PA,Philadelphia
2009-05-07,55,72,63.5,0.39,PA,Philadelphia
2009-05-08,55,79,67.0,-,PA,Philadelphia
2009-05-09,65,84,74.5,0.01,PA,Philadelphia
2009-05-10,57,73,65.0,-,PA,Philadelphia
2009-05-11,53,64,58.5,-,PA,Philadelphia
2009-05-12,50,69,59.5,-,PA,Philadelphia
2009-05-13,48,76,62.0,-,PA,Philadelphia
2009-05-14,57,75,66.0,0.78,PA,Philadelphia
2009-05-15,64,80,72.0,-,PA,Philadelphia
2009-05-16,62,80,71.0,-,PA,Philadelphia
2009-05-17,54,72,63.0,0.04,PA,Philadelphia
2009-05-18,50,61,55.5,-,PA,Philadelphia
2009-05-19,44,70,57.0,-,PA,Philadelphia
2009-05-20,50,80,65.0,-,PA,Philadelphia
2009-05-21,55,83,69.0,-,PA,Philadelphia
2009-05-22,60,84,72.0,-,PA,Philadelphia
2009-05-23,63,87,75.0,-,PA,Philadelphia
2009-05-24,66,84,75.0,0.02,PA,Philadelphia
2009-05-25,67,85,76.0,-,PA,Philadelphia
2009-05-26,52,69,60.5,0.06,PA,Philadelphia
2009-05-27,52,78,65.0,-,PA,Philadelphia
2009-05-28,58,79,68.5,-,PA,Philadelphia
2009-05-29,58,77,67.5,0.97,PA,Philadelphia
2009-05-30,59,79,69.0,-,PA,Philadelphia
2009-05-31,58,83,70.5,-,PA,Philadelphia
2009-06-01,52,73,62.5,-,PA,Philadelphia
2009-06-02,62,85,73.5,0.01,PA,Philadelphia
2009-06-03,59,79,69.0,0.39,PA,Philadelphia
2009-06-04,57,65,61.0,0.31,PA,Philadelphia
2009-06-05,57,61,59.0,0.67,PA,Philadelphia
2009-06-06,59,78,68.5,-,PA,Philadelphia
2009-06-07,62,83,72.5,-,PA,Philadelphia
2009-06-08,66,84,75.0,-,PA,Philadelphia
2009-06-09,65,79,72.0,0.91,PA,Philadelphia
2009-06-10,65,78,71.5,-,PA,Philadelphia
2009-06-11,64,70,67.0,0.39,PA,Philadelphia
2009-06-12,68,85,76.5,0.03,PA,Philadelphia
2009-06-13,64,80,72.0,0.25,PA,Philadelphia
2009-06-14,63,79,71.0,0.01,PA,Philadelphia
2009-06-15,60,79,69.5,0.12,PA,Philadelphia
2009-06-16,58,70,64.0,0.13,PA,Philadelphia
2009-06-17,55,70,62.5,0.08,PA,Philadelphia
2009-06-18,62,70,66.0,0.65,PA,Philadelphia
2009-06-19,66,78,72.0,-,PA,Philadelphia
2009-06-20,64,78,71.0,0.52,PA,Philadelphia
2009-06-21,66,80,73.0,0.01,PA,Philadelphia
