Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,44,70,57.0,-,AZ,Phoenix
2009-01-02,45,69,57.0,-,AZ,Phoenix
2009-01-03,43,65,54.0,-,AZ,Phoenix
2009-01-04,50,56,53.0,0.08,AZ,Phoenix
2009-01-05,43,58,50.5,-,AZ,Phoenix
2009-01-06,41,59,50.0,-,AZ,Phoenix
2009-01-07,40,63,51.5,-,AZ,Phoenix
2009-01-08,42,66,54.0,-,AZ,Phoenix
2009-01-09,43,67,55.0,-,AZ,Phoenix
2009-01-10,43,66,54.5,-,AZ,Phoenix
2009-01-11,41,69,55.0,-,AZ,Phoenix
2009-01-12,42,74,58.0,-,AZ,Phoenix
2009-01-13,46,74,60.0,-,AZ,Phoenix
2009-01-14,45,74,59.5,-,AZ,Phoenix
2009-01-15,46,79,62.5,-,AZ,Phoenix
2009-01-16,48,79,63.5,-,AZ,Phoenix
2009-01-17,50,77,63.5,-,AZ,Phoenix
2009-01-18,48,78,63.0,-,AZ,Phoenix
2009-01-19,49,79,64.0,-,AZ,Phoenix
2009-01-20,50,80,65.0,-,AZ,Phoenix
2009-01-21,59,80,69.5,0.01,AZ,Phoenix
2009-01-22,60,75,67.5,0.11,AZ,Phoenix
2009-01-23,60,72,66.0,0.01,AZ,Phoenix
2009-01-24,58,72,65.0,-,AZ,Phoenix
2009-01-25,52,71,61.5,-,AZ,Phoenix
2009-01-26,49,63,56.0,-,AZ,Phoenix
2009-01-27,42,63,52.5,-,AZ,Phoenix
2009-01-28,40,64,52.0,-,AZ,Phoenix
2009-01-29,42,72,57.0,-,AZ,Phoenix
2009-01-30,49,76,62.5,-,AZ,Phoenix
2009-01-31,44,75,59.5,-,AZ,Phoenix
2009-02-01,46,73,59.5,-,AZ,Phoenix
2009-02-02,46,77,61.5,-,AZ,Phoenix
2009-02-03,48,82,65.0,-,AZ,Phoenix
2009-02-04,53,84,68.5,-,AZ,Phoenix
2009-02-05,53,82,67.5,-,AZ,Phoenix
2009-02-06,51,72,61.5,-,AZ,Phoenix
2009-02-07,50,72,61.0,0.03,AZ,Phoenix
2009-02-08,48,60,54.0,0.71,AZ,Phoenix
2009-02-09,45,62,53.5,0.54,AZ,Phoenix
2009-02-10,44,57,50.5,-,AZ,Phoenix
2009-02-11,41,61,51.0,-,AZ,Phoenix
2009-02-12,47,63,55.0,-,AZ,Phoenix
2009-02-13,41,63,52.0,-,AZ,Phoenix
2009-02-14,42,61,51.5,-,AZ,Phoenix
2009-02-15,44,65,54.5,-,AZ,Phoenix
2009-02-16,45,66,55.5,-,AZ,Phoenix
2009-02-17,52,64,58.0,0.06,AZ,Phoenix
2009-02-18,45,67,56.0,-,AZ,Phoenix
2009-02-19,46,73,59.5,-,AZ,Phoenix
2009-02-20,48,76,62.0,-,AZ,Phoenix
2009-02-21,49,76,62.5,-,AZ,Phoenix
2009-02-22,55,78,66.5,-,AZ,Phoenix
2009-02-23,60,84,72.0,-,AZ,Phoenix
2009-02-24,56,84,70.0,-,AZ,Phoenix
2009-02-25,58,85,71.5,-,AZ,Phoenix
2009-02-26,54,78,66.0,-,AZ,Phoenix
2009-02-27,51,78,64.5,-,AZ,Phoenix
2009-02-28,52,85,68.5,-,AZ,Phoenix
2009-03-01,58,86,72.0,-,AZ,Phoenix
2009-03-02,58,88,73.0,-,AZ,Phoenix
2009-03-03,62,83,72.5,-,AZ,Phoenix
2009-03-04,61,83,72.0,-,AZ,Phoenix
2009-03-05,59,73,66.0,-,AZ,Phoenix
2009-03-06,60,74,67.0,-,AZ,Phoenix
2009-03-07,50,68,59.0,-,AZ,Phoenix
2009-03-08,48,72,60.0,-,AZ,Phoenix
2009-03-09,57,76,66.5,-,AZ,Phoenix
2009-03-10,51,74,62.5,-,AZ,Phoenix
2009-03-11,52,80,66.0,-,AZ,Phoenix
2009-03-12,55,77,66.0,-,AZ,Phoenix
2009-03-13,54,76,65.0,-,AZ,Phoenix
2009-03-14,54,78,66.0,-,AZ,Phoenix
2009-03-15,52,79,65.5,-,AZ,Phoenix
2009-03-16,56,82,69.0,-,AZ,Phoenix
2009-03-17,57,86,71.5,-,AZ,Phoenix
2009-03-18,58,89,73.5,-,AZ,Phoenix
2009-03-19,61,89,75.0,-,AZ,Phoenix
2009-03-20,64,89,76.5,-,AZ,Phoenix
2009-03-21,60,90,75.0,-,AZ,Phoenix
2009-03-22,59,84,71.5,-,AZ,Phoenix
2009-03-23,51,72,61.5,-,AZ,Phoenix
