Date,Min,Max,Avg,Precip,state,city_name
2009-01-01,44,50,47.0,-,CA,San Francisco
2009-01-02,45,57,51.0,0.03,CA,San Francisco
2009-01-03,36,52,44.0,-,CA,San Francisco
2009-01-04,33,50,41.5,-,CA,San Francisco
2009-01-05,44,48,46.0,0.02,CA,San Francisco
2009-01-06,45,53,49.0,-,CA,San Francisco
2009-01-07,46,52,49.0,-,CA,San Francisco
2009-01-08,43,53,48.0,-,CA,San Francisco
2009-01-09,40,58,49.0,-,CA,San Francisco
2009-01-10,44,62,53.0,-,CA,San Francisco
2009-01-11,39,57,48.0,-,CA,San Francisco
2009-01-12,47,70,58.5,-,CA,San Francisco
2009-01-13,49,72,60.5,-,CA,San Francisco
2009-01-14,45,64,54.5,-,CA,San Francisco
2009-01-15,44,68,56.0,-,CA,San Francisco
2009-01-16,46,64,55.0,-,CA,San Francisco
2009-01-17,43,60,51.5,-,CA,San Francisco
2009-01-18,44,66,55.0,-,CA,San Francisco
2009-01-19,43,67,55.0,-,CA,San Francisco
2009-01-20,44,65,54.5,-,CA,San Francisco
2009-01-21,51,56,53.5,0.12,CA,San Francisco
2009-01-22,51,58,54.5,0.33,CA,San Francisco
2009-01-23,52,55,53.5,0.18,CA,San Francisco
2009-01-24,49,55,52.0,-,CA,San Francisco
2009-01-25,45,55,50.0,-,CA,San Francisco
2009-01-26,40,54,47.0,-,CA,San Francisco
2009-01-27,40,54,47.0,-,CA,San Francisco
2009-01-28,39,59,49.0,-,CA,San Francisco
2009-01-29,42,66,54.0,-,CA,San Francisco
2009-01-30,42,62,52.0,-,CA,San Francisco
2009-01-31,41,60,50.5,-,CA,San Francisco
2009-02-01,41,66,53.5,-,CA,San Francisco
2009-02-02,42,65,53.5,-,CA,San Francisco
2009-02-03,45,67,56.0,-,CA,San Francisco
2009-02-04,43,63,53.0,-,CA,San Francisco
2009-02-05,51,58,54.5,0.15,CA,San Francisco
2009-02-06,51,55,53.0,0.16,CA,San Francisco
2009-02-07,49,61,55.0,-,CA,San Francisco
2009-02-08,44,56,50.0,0.2,CA,San Francisco
2009-02-09,43,52,47.5,-,CA,San Francisco
2009-02-10,39,52,45.5,0.08,CA,San Francisco
2009-02-11,43,55,49.0,0.1,CA,San Francisco
2009-02-12,45,52,48.5,-,CA,San Francisco
2009-02-13,44,53,48.5,0.54,CA,San Francisco
2009-02-14,42,54,48.0,0.03,CA,San Francisco
2009-02-15,46,51,48.5,2.09,CA,San Francisco
2009-02-16,46,55,50.5,0.71,CA,San Francisco
2009-02-17,48,54,51.0,0.48,CA,San Francisco
2009-02-18,42,58,50.0,-,CA,San Francisco
2009-02-19,42,64,53.0,-,CA,San Francisco
2009-02-20,45,62,53.5,-,CA,San Francisco
2009-02-21,48,61,54.5,-,CA,San Francisco
2009-02-22,53,58,55.5,1.02,CA,San Francisco
2009-02-23,54,59,56.5,0.14,CA,San Francisco
2009-02-24,50,60,55.0,0.1,CA,San Francisco
2009-02-25,50,61,55.5,0.01,CA,San Francisco
2009-02-26,48,58,53.0,0.04,CA,San Francisco
2009-02-27,47,56,51.5,-,CA,San Francisco
2009-02-28,48,61,54.5,-,CA,San Francisco
2009-03-01,54,63,58.5,0.28,CA,San Francisco
2009-03-02,54,60,57.0,0.71,CA,San Francisco
2009-03-03,48,59,53.5,0.57,CA,San Francisco
2009-03-04,44,55,49.5,0.06,CA,San Francisco
2009-03-05,47,56,51.5,0.19,CA,San Francisco
2009-03-06,48,56,52.0,-,CA,San Francisco
2009-03-07,43,60,51.5,-,CA,San Francisco
2009-03-08,47,56,51.5,-,CA,San Francisco
2009-03-09,43,54,48.5,-,CA,San Francisco
2009-03-10,38,57,47.5,-,CA,San Francisco
2009-03-11,40,60,50.0,-,CA,San Francisco
2009-03-12,43,59,51.0,-,CA,San Francisco
2009-03-13,47,57,52.0,-,CA,San Francisco
2009-03-14,48,53,50.5,-,CA,San Francisco
2009-03-15,50,59,54.5,0.04,CA,San Francisco
2009-03-16,53,64,58.5,0.02,CA,San Francisco
2009-03-17,52,63,57.5,-,CA,San Francisco
2009-03-18,48,68,58.0,-,CA,San Francisco
2009-03-19,52,65,58.5,-,CA,San Francisco
2009-03-20,50,58,54.0,-,CA,San Francisco
2009-03-21,48,56,52.0,0.16,CA,San Francisco
2009-03-22,45,53,49.0,0.1,CA,San Francisco
2009-03-23,41,57,49.0,-,CA,San Francisco
2009-03-24,42,62,52.0,-,CA,San Francisco
2009-03-25,45,64,54.5,-,CA,San Francisco
2009-03-26,50,63,56.5,-,CA,San Francisco
2009-03-27,50,73,61.5,-,CA,San Francisco
2009-03-28,49,69,59.0,-,CA,San Francisco
2009-03-29,48,60,54.0,-,CA,San Francisco
2009-03-30,49,64,56.5,-,CA,San Francisco
2009-03-31,45,68,56.5,-,CA,San Francisco
2009-04-01,49,62,55.5,-,CA,San Francisco
2009-04-02,48,59,53.5,-,CA,San Francisco
2009-04-03,45,57,51.0,-,CA,San Francisco
2009-04-04,41,65,53.0,-,CA,San Francisco
2009-04-05,43,75,59.0,-,CA,San Francisco
2009-04-06,48,75,61.5,-,CA,San Francisco
2009-04-07,51,61,56.0,0.23,CA,San Francisco
2009-04-08,51,60,55.5,0.03,CA,San Francisco
2009-04-09,50,56,53.0,0.01,CA,San Francisco
2009-04-10,48,59,53.5,-,CA,San Francisco
2009-04-11,47,60,53.5,-,CA,San Francisco
2009-04-12,50,61,55.5,-,CA,San Francisco
2009-04-13,48,61,54.5,-,CA,San Francisco
2009-04-14,45,54,49.5,-,CA,San Francisco
2009-04-15,41,57,49.0,-,CA,San Francisco
2009-04-16,45,59,52.0,-,CA,San Francisco
2009-04-17,46,68,57.0,-,CA,San Francisco
2009-04-18,47,71,59.0,-,CA,San Francisco
2009-04-19,52,86,69.0,-,CA,San Francisco
2009-04-20,59,91,75.0,-,CA,San Francisco
